t Ka M R logL logTeff
0.259822 1 10.000065 3.071176 3.761507 4.457865
0.519645 1 10.000046 3.084310 3.763419 4.457416
0.779468 1 10.000027 3.097511 3.765385 4.456980
1.039293 1 10.000008 3.110785 3.767404 4.456557
1.299118 1 9.999989 3.124137 3.769477 4.456145
1.558944 1 9.999970 3.137575 3.771603 4.455744
1.818771 1 9.999950 3.151103 3.773782 4.455355
2.078598 1 9.999931 3.164729 3.776015 4.454976
2.338427 1 9.999911 3.178458 3.778301 4.454608
2.598256 1 9.999891 3.192298 3.780640 4.454249
2.858086 1 9.999871 3.206253 3.783033 4.453900
3.117917 1 9.999851 3.220332 3.785479 4.453560
3.377748 1 9.999830 3.234541 3.787979 4.453229
3.637581 1 9.999810 3.248886 3.790532 4.452906
3.897415 1 9.999789 3.263376 3.793138 4.452592
4.157249 1 9.999768 3.278016 3.795798 4.452284
4.417084 1 9.999747 3.292814 3.798510 4.451985
4.676920 1 9.999725 3.307778 3.801277 4.451692
4.936757 1 9.999703 3.322915 3.804096 4.451405
5.196595 1 9.999681 3.338232 3.806969 4.451125
5.456434 1 9.999659 3.353738 3.809895 4.450850
5.716274 1 9.999637 3.369439 3.812875 4.450581
5.976114 1 9.999614 3.385345 3.815908 4.450316
6.235956 1 9.999591 3.401464 3.818994 4.450056
6.495799 1 9.999567 3.417803 3.822134 4.449801
6.755642 1 9.999544 3.434372 3.825327 4.449549
7.015487 1 9.999519 3.451178 3.828573 4.449300
7.275332 1 9.999495 3.468231 3.831873 4.449055
7.535179 1 9.999470 3.485541 3.835226 4.448812
7.795026 1 9.999445 3.503115 3.838632 4.448571
8.054875 1 9.999420 3.520964 3.842092 4.448333
8.314725 1 9.999394 3.539097 3.845605 4.448096
8.574576 1 9.999368 3.557524 3.849171 4.447859
8.834428 1 9.999341 3.576256 3.852791 4.447624
9.094281 1 9.999314 3.595302 3.856464 4.447389
9.354135 1 9.999286 3.614675 3.860190 4.447154
9.613990 1 9.999258 3.634384 3.863970 4.446918
9.873847 1 9.999230 3.654441 3.867803 4.446681
10.133704 1 9.999201 3.674859 3.871689 4.446443
10.393563 1 9.999171 3.695649 3.875629 4.446202
10.653423 1 9.999141 3.716824 3.879622 4.445960
10.913285 1 9.999111 3.738398 3.883668 4.445715
11.173147 1 9.999080 3.760384 3.887767 4.445466
11.433011 1 9.999048 3.782798 3.891920 4.445214
11.692877 1 9.999016 3.805653 3.896126 4.444958
11.952743 1 9.998983 3.828967 3.900386 4.444696
12.212611 1 9.998950 3.852757 3.904698 4.444429
12.472480 1 9.998915 3.877040 3.909064 4.444157
12.732351 1 9.998881 3.901835 3.913484 4.443877
12.992224 1 9.998845 3.927162 3.917956 4.443590
13.252097 1 9.998809 3.953044 3.922482 4.443295
13.511973 1 9.998772 3.979504 3.927061 4.442991
13.771849 1 9.998734 4.006566 3.931694 4.442678
14.031728 1 9.998696 4.034257 3.936379 4.442354
14.291608 1 9.998657 4.062607 3.941118 4.442018
14.551489 1 9.998617 4.091646 3.945911 4.441669
14.811373 1 9.998576 4.121410 3.950756 4.441307
15.071258 1 9.998534 4.151934 3.955655 4.440929
15.331144 1 9.998492 4.183260 3.960607 4.440535
15.591033 1 9.998448 4.215431 3.965612 4.440123
15.850923 1 9.998404 4.248496 3.970671 4.439691
16.110815 1 9.998358 4.282508 3.975783 4.439237
16.370709 1 9.998312 4.317526 3.980948 4.438760
16.630606 1 9.998264 4.353613 3.986166 4.438257
16.890504 1 9.998215 4.390839 3.991438 4.437726
17.150404 1 9.998165 4.429283 3.996763 4.437165
17.410306 1 9.998114 4.469031 4.002141 4.436569
17.670210 1 9.998060 4.510176 4.007572 4.435937
17.930117 1 9.998006 4.552825 4.013056 4.435264
18.190025 1 9.997950 4.597094 4.018594 4.434547
18.319981 1 9.997921 4.619875 4.021382 4.434171
18.449937 1 9.997892 4.643110 4.024184 4.433782
18.579894 1 9.997862 4.666818 4.027000 4.433380
18.709851 1 9.997832 4.691017 4.029828 4.432964
18.839809 1 9.997802 4.715729 4.032670 4.432534
18.969768 1 9.997771 4.740974 4.035525 4.432088
19.099727 1 9.997739 4.766774 4.038394 4.431627
19.229687 1 9.997708 4.793155 4.041275 4.431149
19.359648 1 9.997675 4.820141 4.044170 4.430653
19.489609 1 9.997643 4.847758 4.047078 4.430140
19.619571 1 9.997609 4.876034 4.050000 4.429607
19.749534 1 9.997576 4.904999 4.052935 4.429055
19.879497 1 9.997541 4.934683 4.055883 4.428482
20.009462 1 9.997506 4.965120 4.058844 4.427887
20.139426 1 9.997471 4.996345 4.061819 4.427269
20.269392 1 9.997435 5.028393 4.064807 4.426628
20.399358 1 9.997399 5.061304 4.067808 4.425961
20.529325 1 9.997362 5.095119 4.070823 4.425269
20.659293 1 9.997324 5.129880 4.073850 4.424550
20.789262 1 9.997286 5.165633 4.076891 4.423802
20.919231 1 9.997248 5.202427 4.079946 4.423024
21.049202 1 9.997208 5.240314 4.083013 4.422215
21.179173 1 9.997169 5.279346 4.086094 4.421374
21.309145 1 9.997128 5.319581 4.089188 4.420499
21.439117 1 9.997087 5.361081 4.092296 4.419588
21.569091 1 9.997045 5.403909 4.095416 4.418641
21.699065 1 9.997003 5.448134 4.098550 4.417654
21.829041 1 9.996959 5.493828 4.101697 4.416627
21.959017 1 9.996916 5.541067 4.104858 4.415558
22.088994 1 9.996871 5.589934 4.108031 4.414445
22.218972 1 9.996826 5.640514 4.111218 4.413286
22.348951 1 9.996780 5.692900 4.114418 4.412078
22.478931 1 9.996733 5.747189 4.117632 4.410821
22.608912 1 9.996685 5.803485 4.120858 4.409511
22.708912 1 9.996661 5.832420 4.122477 4.408835
22.808912 1 9.996637 5.861899 4.124098 4.408146
22.908912 1 9.996612 5.891936 4.125723 4.407442
23.008912 1 9.996588 5.922547 4.127351 4.406724
23.108912 1 9.996563 5.953749 4.128983 4.405991
23.208912 1 9.996538 5.985556 4.130618 4.405243
23.308912 1 9.996512 6.017987 4.132256 4.404479
23.408912 1 9.996487 6.051059 4.133897 4.403699
23.508912 1 9.996461 6.084790 4.135542 4.402903
23.608912 1 9.996435 6.119198 4.137190 4.402091
23.708912 1 9.996408 6.154304 4.138841 4.401261
23.808912 1 9.996382 6.190126 4.140496 4.400415
23.908912 1 9.996355 6.226686 4.142154 4.399551
24.008912 1 9.996328 6.264005 4.143815 4.398668
24.108912 1 9.996301 6.302104 4.145480 4.397768
24.208912 1 9.996062 6.340918 4.147120 4.396845
24.308912 1 9.995820 6.380557 4.148763 4.395902
24.408912 1 9.995576 6.421046 4.150409 4.394940
24.508912 1 9.995330 6.462409 4.152058 4.393958
24.608912 1 9.995082 6.504673 4.153711 4.392956
24.708912 1 9.994832 6.547864 4.155366 4.391932
24.808912 1 9.994580 6.592011 4.157024 4.390888
24.908912 1 9.994326 6.637142 4.158686 4.389821
25.008912 1 9.994069 6.683288 4.160350 4.388733
25.108912 1 9.993810 6.730478 4.162018 4.387622
25.208912 1 9.993549 6.778747 4.163689 4.386488
25.308912 1 9.993286 6.828125 4.165362 4.385330
25.408912 1 9.993021 6.878650 4.167039 4.384149
25.508912 1 9.992753 6.930354 4.168719 4.382942
25.608912 1 9.992483 6.983277 4.170401 4.381711
25.708912 1 9.992210 7.037457 4.172087 4.380454
25.808912 1 9.991935 7.092933 4.173776 4.379172
25.908912 1 9.991658 7.149746 4.175468 4.377862
26.008912 1 9.991379 7.207941 4.177163 4.376526
26.108912 1 9.991096 7.267561 4.178861 4.375161
26.208912 1 9.990812 7.328652 4.180561 4.373769
26.308912 1 9.990525 7.391264 4.182265 4.372348
26.408912 1 9.990235 7.455445 4.183972 4.370897
26.508912 1 9.989943 7.521248 4.185682 4.369416
26.608912 1 9.989648 7.588728 4.187395 4.367905
26.708912 1 9.989351 7.657939 4.189111 4.366362
26.808912 1 9.989051 7.728941 4.190830 4.364788
26.908912 1 9.988749 7.801794 4.192552 4.363181
27.008912 1 9.988443 7.876562 4.194277 4.361541
27.108912 1 9.988135 7.953310 4.196005 4.359868
27.208912 1 9.987824 8.032107 4.197735 4.358160
27.308912 1 9.987668 8.072296 4.198602 4.357293
27.408912 1 9.987510 8.113024 4.199469 4.356416
27.508912 1 9.987352 8.154301 4.200337 4.355532
27.639090 1 9.986716 8.232257 4.212581 4.356526
27.739090 1 9.986611 8.188999 4.217158 4.358815
27.839090 1 9.986516 8.128057 4.221786 4.361594
27.939090 1 9.986431 8.054736 4.226313 4.364693
28.039090 1 9.986393 8.016329 4.228434 4.366261
28.139090 1 9.986357 7.976660 4.230500 4.367855
28.239090 1 9.986323 7.936166 4.232505 4.369462
28.339090 1 9.986291 7.895231 4.234445 4.371069
28.439090 1 9.986260 7.854195 4.236316 4.372669
28.539090 1 9.986231 7.813349 4.238116 4.374251
28.639090 1 9.986204 7.772942 4.239844 4.375809
28.739090 1 9.986178 7.733182 4.241500 4.377337
28.839090 1 9.986154 7.694242 4.243084 4.378829
28.939090 1 9.986131 7.656263 4.244597 4.380281
29.039090 1 9.986087 7.581185 4.247505 4.383148
29.139090 1 9.986048 7.511329 4.250126 4.385814
29.239090 1 9.986014 7.447006 4.252479 4.388269
29.339090 1 9.985983 7.388273 4.254583 4.390515
29.439090 1 9.985956 7.335008 4.256458 4.392555
29.539090 1 9.985932 7.286969 4.258126 4.394398
29.639090 1 9.985911 7.243843 4.259605 4.396057
29.739090 1 9.985893 7.205275 4.260915 4.397544
29.839090 1 9.985860 7.135919 4.263242 4.400226
29.939090 1 9.985857 7.082367 4.265019 4.402306
30.039090 1 9.985855 7.041342 4.266368 4.403905
30.139090 1 9.985852 6.978430 4.268419 4.406366
30.239090 2 9.985849 6.913886 4.270500 4.408905
30.339090 2 9.985849 6.979547 4.270386 4.406823
30.439090 2 9.985848 7.047408 4.270268 4.404693
30.539090 2 9.985848 7.115929 4.270151 4.402562
30.639090 2 9.985848 7.185116 4.270033 4.400432
30.739090 2 9.985848 7.254975 4.269916 4.398302
30.839090 2 9.985848 7.325514 4.269799 4.396171
30.939090 2 9.985846 7.396738 4.269681 4.394041
31.039090 2 9.985845 7.468654 4.269564 4.391910
31.139090 2 9.985844 7.541270 4.269446 4.389780
31.239090 2 9.985842 7.614592 4.269328 4.387649
31.339090 2 9.985841 7.688626 4.269211 4.385519
31.439090 2 9.985840 7.763381 4.269093 4.383388
31.539090 2 9.985839 7.838862 4.268976 4.381258
31.639090 2 9.985837 7.915077 4.268858 4.379128
31.739090 2 9.985836 7.992033 4.268741 4.376997
31.839090 2 9.985835 8.069738 4.268623 4.374867
31.939090 2 9.985833 8.148197 4.268506 4.372736
32.039090 2 9.985832 8.227420 4.268388 4.370606
32.139090 2 9.985831 8.307413 4.268270 4.368475
32.239090 2 9.985829 8.388183 4.268153 4.366345
32.339090 2 9.985828 8.469739 4.268035 4.364214
32.439090 2 9.985827 8.552088 4.267918 4.362084
32.539090 2 9.985825 8.635238 4.267800 4.359953
32.639090 2 9.985824 8.719196 4.267683 4.357823
32.739090 2 9.985823 8.803970 4.267565 4.355693
32.839090 2 9.985821 8.889569 4.267447 4.353562
32.939090 2 9.985820 8.975999 4.267330 4.351432
33.039090 2 9.985819 9.063270 4.267212 4.349301
33.139090 2 9.985817 9.151390 4.267095 4.347171
33.239090 2 9.985816 9.240366 4.266977 4.345040
33.339090 2 9.985815 9.330208 4.266860 4.342910
33.439090 2 9.985814 9.420922 4.266742 4.340779
33.539090 2 9.985812 9.512519 4.266625 4.338649
33.639090 2 9.985811 9.605007 4.266507 4.336518
33.739090 2 9.985810 9.698393 4.266389 4.334388
33.839090 2 9.985809 9.792688 4.266272 4.332258
33.939090 2 9.985807 9.887900 4.266154 4.330127
34.039090 2 9.985806 9.984037 4.266037 4.327997
34.139090 2 9.985805 10.081109 4.265919 4.325866
34.239090 2 9.985804 10.179124 4.265802 4.323736
34.339090 2 9.985802 10.278093 4.265684 4.321605
34.439090 2 9.985801 10.378024 4.265567 4.319475
34.539090 2 9.985800 10.478926 4.265449 4.317344
34.639090 2 9.985799 10.580810 4.265332 4.315214
34.739090 2 9.985798 10.683684 4.265214 4.313084
34.839090 2 9.985797 10.787558 4.265096 4.310953
34.939090 2 9.985795 10.892442 4.264979 4.308823
35.039090 2 9.985794 10.998346 4.264861 4.306692
35.139090 2 9.985793 11.105280 4.264744 4.304562
35.239090 2 9.985792 11.213253 4.264626 4.302431
35.339090 2 9.985791 11.322276 4.264509 4.300301
35.439090 2 9.985790 11.432360 4.264391 4.298170
35.539090 2 9.985788 11.543513 4.264274 4.296040
35.639090 2 9.985787 11.655747 4.264156 4.293910
35.739090 2 9.985786 11.769072 4.264039 4.291779
35.839090 2 9.985785 11.883500 4.263921 4.289649
35.939090 2 9.985784 11.999039 4.263804 4.287518
36.039090 2 9.985783 12.115702 4.263686 4.285388
36.139090 2 9.985782 12.233500 4.263568 4.283257
36.239090 2 9.985781 12.352442 4.263451 4.281127
36.339090 2 9.985780 12.472542 4.263333 4.278996
36.439090 2 9.985779 12.593808 4.263216 4.276866
36.539090 2 9.985778 12.716254 4.263098 4.274736
36.639090 2 9.985776 12.839890 4.262981 4.272605
36.739090 2 9.985775 12.964729 4.262863 4.270475
36.839090 2 9.985774 13.090781 4.262746 4.268344
36.939090 2 9.985773 13.218059 4.262628 4.266214
37.039090 2 9.985772 13.346574 4.262511 4.264083
37.139090 2 9.985771 13.476339 4.262393 4.261953
37.239090 2 9.985770 13.607365 4.262276 4.259822
37.339090 2 9.985769 13.739665 4.262158 4.257692
37.439090 2 9.985768 13.873252 4.262041 4.255562
37.539090 2 9.985767 14.008137 4.261923 4.253431
37.639090 2 9.985766 14.144334 4.261806 4.251301
37.739090 2 9.985765 14.281855 4.261688 4.249170
37.839090 2 9.985764 14.420713 4.261571 4.247040
37.939090 2 9.985763 14.560922 4.261453 4.244909
38.039090 2 9.985762 14.702493 4.261335 4.242779
38.139090 2 9.985761 14.845441 4.261218 4.240649
38.239090 2 9.985760 14.989779 4.261100 4.238518
38.339090 2 9.985759 15.135520 4.260983 4.236388
38.439090 2 9.985758 15.282678 4.260865 4.234257
