t Ka M R logL logTeff
0.100000 1 59.989149 8.846442 5.690603 4.710407
0.200000 1 59.978113 8.875179 5.692384 4.710148
0.300000 1 59.966973 8.904075 5.694197 4.709895
0.400000 1 59.955728 8.933165 5.696041 4.709648
0.500000 1 59.944373 8.962484 5.697917 4.709406
0.600000 1 59.932906 8.992071 5.699825 4.709167
0.700000 1 59.921325 9.021961 5.701765 4.708931
0.800000 1 59.909625 9.052192 5.703736 4.708698
0.900000 1 59.897804 9.082803 5.705739 4.708465
1.000000 1 59.885859 9.113831 5.707774 4.708234
1.100000 1 59.873786 9.145316 5.709840 4.708001
1.200000 1 59.861582 9.177297 5.711938 4.707768
1.300000 1 59.849243 9.209814 5.714066 4.707532
1.400000 1 59.836767 9.242908 5.716227 4.707293
1.500000 1 59.824149 9.276621 5.718418 4.707050
1.600000 1 59.811386 9.310993 5.720641 4.706803
1.700000 1 59.798473 9.346068 5.722895 4.706550
1.800000 1 59.785408 9.381889 5.725180 4.706291
1.900000 1 59.772186 9.418498 5.727497 4.706024
2.000000 1 59.758803 9.455942 5.729844 4.705749
2.100000 1 59.745255 9.494265 5.732222 4.705465
2.200000 1 59.731538 9.533514 5.734631 4.705172
2.300000 1 59.717647 9.573734 5.737071 4.704868
2.400000 1 59.703578 9.614975 5.739541 4.704552
2.500000 1 59.689326 9.657285 5.742043 4.704224
2.600000 1 59.674888 9.700714 5.744574 4.703882
2.700000 1 59.660256 9.745312 5.747137 4.703527
2.800000 1 59.645428 9.791131 5.749730 4.703157
2.900000 1 59.630398 9.838225 5.752353 4.702770
3.000000 1 59.615160 9.886648 5.755006 4.702368
3.100000 1 59.599710 9.936456 5.757690 4.701947
3.200000 1 59.584041 9.987705 5.760404 4.701509
3.300000 1 59.568149 10.040454 5.763148 4.701051
3.400000 1 59.552027 10.094764 5.765922 4.700573
3.500000 1 59.535670 10.150696 5.768725 4.700074
3.600000 1 59.519072 10.208315 5.771559 4.699553
3.700000 1 59.502226 10.267685 5.774422 4.699010
3.800000 1 59.485126 10.328876 5.777314 4.698443
3.900000 1 59.467740 10.391956 5.780236 4.697851
4.000000 1 59.450059 10.456997 5.783187 4.697234
4.100000 1 59.432073 10.524074 5.786167 4.696590
4.200000 1 59.413773 10.593266 5.789175 4.695919
4.300000 1 59.395151 10.664656 5.792212 4.695220
4.400000 1 59.376197 10.738328 5.795277 4.694492
4.500000 1 59.356901 10.814372 5.798371 4.693733
4.600000 1 59.337252 10.892882 5.801492 4.692942
4.700000 1 59.317240 10.973957 5.804642 4.692119
4.800000 1 59.296856 11.057700 5.807819 4.691263
4.900000 1 59.276086 11.144220 5.811024 4.690372
5.000000 1 59.254921 11.233634 5.814257 4.689445
5.100000 1 59.233349 11.326064 5.817516 4.688480
5.200000 1 59.211357 11.421641 5.820803 4.687477
5.300000 1 59.188933 11.520505 5.824117 4.686434
5.400000 1 59.166065 11.622805 5.827457 4.685349
5.500000 1 59.142739 11.728699 5.830824 4.684222
5.600000 1 59.118942 11.838360 5.834217 4.683049
5.700000 1 59.094661 11.951971 5.837636 4.681830
5.800000 1 59.069882 12.069731 5.841082 4.680562
5.900000 1 59.057236 12.130227 5.842813 4.679909
6.000000 1 59.044460 12.191841 5.844550 4.679244
6.100000 1 59.031550 12.254605 5.846294 4.678564
6.200000 1 59.018507 12.318548 5.848045 4.677872
6.300000 1 59.005326 12.383703 5.849801 4.677166
6.400000 1 58.992008 12.450104 5.851564 4.676445
6.500000 1 58.978549 12.517786 5.853333 4.675710
6.600000 1 58.964948 12.586786 5.855108 4.674960
6.700000 1 58.951204 12.657142 5.856889 4.674195
6.800000 1 58.937313 12.728894 5.858677 4.673414
6.900000 1 58.923275 12.802085 5.860470 4.672618
7.000000 1 58.909086 12.876757 5.862270 4.671805
7.100000 1 58.894746 12.952958 5.864076 4.670975
7.200000 1 58.880252 13.030734 5.865887 4.670128
7.300000 1 58.865602 13.110138 5.867705 4.669263
7.400000 1 58.850795 13.191221 5.869529 4.668380
7.500000 1 58.835828 13.274039 5.871358 4.667479
7.600000 1 58.820699 13.358651 5.873194 4.666558
7.700000 1 58.805406 13.445117 5.875035 4.665617
7.800000 1 58.789948 13.533502 5.876882 4.664656
7.900000 1 58.774322 13.623873 5.878735 4.663674
8.000000 1 58.758527 13.716301 5.880593 4.662670
8.100000 1 58.742560 13.810861 5.882457 4.661645
8.200000 1 58.726420 13.907630 5.884327 4.660596
8.300000 1 58.710105 14.006692 5.886203 4.659523
8.400000 1 58.693612 14.108134 5.888084 4.658427
8.500000 1 58.676941 14.212046 5.889971 4.657305
8.600000 1 58.660089 14.318526 5.891863 4.656157
8.700000 1 58.643054 14.427674 5.893761 4.654983
8.800000 1 58.625836 14.539598 5.895664 4.653780
8.900000 1 58.608432 14.654411 5.897573 4.652550
9.000000 1 58.590841 14.772233 5.899488 4.651289
9.100000 1 58.573061 14.893188 5.901407 4.649999
9.200000 1 58.555092 15.017410 5.903332 4.648676
9.300000 1 58.536931 15.145040 5.905263 4.647321
9.400000 1 58.518578 15.276226 5.907199 4.645932
9.500000 1 58.500032 15.411124 5.909140 4.644508
9.600000 1 58.481293 15.549902 5.911086 4.643048
9.700000 1 58.462358 15.692734 5.913038 4.641551
9.800000 1 58.443229 15.839807 5.914995 4.640014
9.900000 1 58.423904 15.991317 5.916958 4.638438
10.000000 1 58.404383 16.147475 5.918925 4.636820
10.100000 1 58.384667 16.308501 5.920898 4.635158
10.200000 1 58.374712 16.390908 5.921886 4.634311
10.300000 1 58.364708 16.474621 5.922876 4.633452
10.400000 1 58.354656 16.559671 5.923866 4.632581
10.500000 1 58.344555 16.646093 5.924858 4.631699
10.600000 1 58.334406 16.733918 5.925852 4.630805
10.700000 1 58.324209 16.823182 5.926846 4.629898
10.800000 1 58.313964 16.913920 5.927842 4.628979
10.900000 1 58.303672 17.006170 5.928840 4.628047
11.000000 1 58.293332 17.099968 5.929838 4.627102
11.100000 1 58.282945 17.195354 5.930838 4.626145
11.200000 1 58.272511 17.292369 5.931840 4.625173
11.300000 1 58.262031 17.391055 5.932842 4.624188
11.400000 1 58.251505 17.491453 5.933846 4.623189
11.500000 1 58.240933 17.593608 5.934851 4.622176
11.600000 1 58.230315 17.697567 5.935858 4.621148
11.700000 1 58.219653 17.803376 5.936866 4.620106
11.800000 1 58.208946 17.911084 5.937876 4.619049
11.900000 1 58.198196 18.020741 5.938886 4.617976
12.000000 1 58.187402 18.132399 5.939899 4.616888
12.100000 1 58.176566 18.246113 5.940912 4.615783
12.200000 1 58.165687 18.361936 5.941927 4.614663
12.300000 1 58.154767 18.479927 5.942943 4.613526
12.400000 1 58.143806 18.600145 5.943961 4.612373
12.500000 1 58.132806 18.722651 5.944980 4.611202
12.600000 1 58.121766 18.847507 5.946001 4.610014
12.700000 1 58.110689 18.974780 5.947023 4.608808
12.800000 1 58.099573 19.104537 5.948047 4.607584
12.900000 1 58.088422 19.236848 5.949072 4.606342
13.000000 1 58.077235 19.371784 5.950098 4.605080
13.100000 1 58.066015 19.509421 5.951126 4.603800
13.200000 1 58.054761 19.649836 5.952156 4.602500
13.300000 1 58.043475 19.793109 5.953187 4.601180
13.400000 1 58.032159 19.939323 5.954219 4.599840
13.500000 1 58.020813 20.088564 5.955253 4.598479
13.600000 1 58.009439 20.240920 5.956289 4.597098
13.700000 1 57.998040 20.396484 5.957326 4.595695
13.800000 1 57.986615 20.555350 5.958365 4.594269
13.900000 1 57.975167 20.717618 5.959406 4.592822
14.000000 1 57.963697 20.883390 5.960448 4.591352
14.100000 1 57.952208 21.052771 5.961492 4.589859
14.200000 1 57.940700 21.225872 5.962538 4.588342
14.300000 1 57.929177 21.402807 5.963586 4.586802
14.400000 1 57.917640 21.583695 5.964635 4.585236
14.500000 1 57.906090 21.768657 5.965686 4.583646
14.600000 1 57.894531 21.957821 5.966739 4.582031
14.700000 1 57.882965 22.151320 5.967794 4.580389
14.800000 1 57.871393 22.349290 5.968850 4.578721
14.900000 1 57.859819 22.551874 5.969909 4.577027
15.000000 1 57.848245 22.759220 5.970970 4.575304
15.100000 1 57.836673 22.971482 5.972032 4.573554
15.200000 1 57.825107 23.188819 5.973097 4.571776
15.300000 1 57.813549 23.411397 5.974164 4.569968
15.400000 1 57.802002 23.639390 5.975233 4.568131
15.500000 1 57.790469 23.872976 5.976304 4.566263
15.600000 1 57.784712 23.991926 5.976841 4.565318
15.700000 1 57.778959 24.112345 5.977378 4.564365
15.800000 1 57.773212 24.234257 5.977915 4.563405
15.900000 1 57.767471 24.357688 5.978454 4.562436
16.000000 1 57.761736 24.482663 5.978992 4.561459
16.100000 1 57.756007 24.609208 5.979532 4.560475
16.200000 1 57.750286 24.737350 5.980072 4.559482
16.300000 1 57.744572 24.867115 5.980612 4.558481
16.400000 1 57.738867 24.998533 5.981153 4.557472
16.500000 1 57.733170 25.131630 5.981695 4.556454
16.600000 1 57.727482 25.266436 5.982238 4.555428
16.700000 1 57.721803 25.402979 5.982781 4.554393
16.800000 1 57.716134 25.541291 5.983324 4.553350
16.900000 1 57.710476 25.681402 5.983869 4.552298
17.000000 1 57.704829 25.823342 5.984414 4.551238
17.100000 1 57.699193 25.967145 5.984959 4.550168
17.200000 1 57.693569 26.112842 5.985506 4.549090
17.300000 1 57.687958 26.260466 5.986053 4.548003
17.400000 1 57.682360 26.410053 5.986600 4.546906
17.500000 1 57.676775 26.561637 5.987149 4.545800
17.600000 1 57.671204 26.715253 5.987698 4.544685
