t Ka M R logL logTeff
0.261237 1 10.000046 3.394856 3.752347 4.433817
0.522476 1 10.000008 3.410834 3.754232 4.433268
0.783717 1 9.999969 3.426898 3.756168 4.432732
1.044959 1 9.999930 3.443053 3.758155 4.432207
1.306203 1 9.999890 3.459306 3.760193 4.431694
1.567448 1 9.999850 3.475661 3.762283 4.431193
1.828696 1 9.999810 3.492125 3.764424 4.430702
2.089945 1 9.999769 3.508705 3.766616 4.430221
2.351196 1 9.999728 3.525406 3.768860 4.429751
2.612448 1 9.999686 3.542235 3.771154 4.429290
2.873703 1 9.999644 3.559198 3.773500 4.428840
3.134959 1 9.999601 3.576303 3.775898 4.428398
3.396217 1 9.999558 3.593554 3.778346 4.427965
3.657477 1 9.999514 3.610961 3.780846 4.427541
3.918739 1 9.999470 3.628528 3.783397 4.427125
4.180003 1 9.999425 3.646264 3.786000 4.426716
4.441269 1 9.999380 3.664176 3.788653 4.426316
4.702536 1 9.999334 3.682271 3.791358 4.425922
4.963806 1 9.999287 3.700556 3.794114 4.425536
5.225078 1 9.999239 3.719039 3.796922 4.425156
5.486352 1 9.999191 3.737728 3.799780 4.424782
5.747627 1 9.999143 3.756631 3.802690 4.424414
6.008905 1 9.999093 3.775755 3.805651 4.424051
6.270186 1 9.999043 3.795110 3.808664 4.423694
6.531468 1 9.998992 3.814702 3.811727 4.423342
6.792752 1 9.998940 3.834542 3.814842 4.422994
7.054039 1 9.998887 3.854637 3.818008 4.422651
7.315328 1 9.998834 3.874996 3.821225 4.422311
7.576620 1 9.998779 3.895629 3.824494 4.421975
7.837913 1 9.998724 3.916545 3.827814 4.421642
8.099209 1 9.998668 3.937753 3.831185 4.421312
8.360508 1 9.998611 3.959263 3.834607 4.420985
8.621809 1 9.998553 3.981086 3.838080 4.420660
8.883112 1 9.998493 4.003230 3.841605 4.420336
9.144418 1 9.998433 4.025708 3.845180 4.420015
9.405727 1 9.998372 4.048530 3.848807 4.419694
9.667039 1 9.998309 4.071707 3.852485 4.419374
9.928353 1 9.998246 4.095251 3.856215 4.419054
10.189669 1 9.998181 4.119173 3.859995 4.418734
10.450989 1 9.998115 4.143488 3.863827 4.418414
10.712311 1 9.998047 4.168207 3.867710 4.418093
10.973637 1 9.997978 4.193344 3.871644 4.417771
11.234965 1 9.997908 4.218913 3.875629 4.417447
11.496297 1 9.997837 4.244930 3.879665 4.417122
11.757631 1 9.997764 4.271411 3.883752 4.416793
12.018969 1 9.997689 4.298371 3.887891 4.416461
12.280310 1 9.997613 4.325829 3.892081 4.416126
12.541654 1 9.997535 4.353804 3.896321 4.415787
12.803002 1 9.997456 4.382314 3.900613 4.415442
13.064353 1 9.997374 4.411383 3.904956 4.415092
13.325707 1 9.997291 4.441032 3.909350 4.414736
13.587065 1 9.997207 4.471287 3.913796 4.414373
13.848427 1 9.997120 4.502174 3.918292 4.414002
14.109793 1 9.997031 4.533722 3.922839 4.413623
14.371162 1 9.996940 4.565962 3.927438 4.413234
14.632535 1 9.996847 4.598928 3.932087 4.412834
14.893913 1 9.996752 4.632658 3.936788 4.412422
15.155294 1 9.996654 4.667191 3.941539 4.411998
15.416680 1 9.996554 4.702573 3.946342 4.411558
15.678070 1 9.996452 4.738851 3.951195 4.411103
15.939465 1 9.996347 4.776080 3.956100 4.410630
16.200864 1 9.996240 4.814318 3.961055 4.410137
16.462267 1 9.996129 4.853630 3.966062 4.409623
16.723676 1 9.996016 4.894088 3.971119 4.409085
16.985089 1 9.995900 4.935770 3.976228 4.408520
17.246508 1 9.995781 4.978764 3.981387 4.407927
17.507931 1 9.995659 5.023167 3.986597 4.407301
17.769360 1 9.995534 5.069086 3.991859 4.406640
18.030794 1 9.995405 5.116640 3.997171 4.405941
18.292234 1 9.995272 5.165960 4.002534 4.405198
18.553680 1 9.995136 5.217194 4.007947 4.404409
18.684406 1 9.995066 5.243577 4.010673 4.403995
18.815133 1 9.994996 5.270502 4.013412 4.403568
18.945862 1 9.994924 5.297990 4.016163 4.403126
19.076592 1 9.994851 5.326066 4.018927 4.402669
19.207324 1 9.994777 5.354757 4.021704 4.402197
19.338058 1 9.994702 5.384088 4.024493 4.401708
19.468793 1 9.994626 5.414090 4.027295 4.401202
19.599530 1 9.994549 5.444791 4.030110 4.400677
19.730268 1 9.994471 5.476225 4.032938 4.400134
19.861008 1 9.994392 5.508425 4.035778 4.399571
19.991750 1 9.994311 5.541427 4.038631 4.398987
20.122494 1 9.994229 5.575268 4.041496 4.398382
20.253239 1 9.994147 5.609988 4.044374 4.397753
20.383986 1 9.993413 5.645403 4.047178 4.397087
20.514750 1 9.992669 5.681778 4.049992 4.396397
20.645529 1 9.991913 5.719158 4.052818 4.395679
20.776324 1 9.991147 5.757594 4.055656 4.394934
20.907137 1 9.990369 5.797137 4.058504 4.394160
21.037966 1 9.989580 5.837844 4.061364 4.393355
21.168812 1 9.988779 5.879773 4.064236 4.392519
21.299676 1 9.987966 5.922985 4.067118 4.391650
21.430557 1 9.987140 5.967548 4.070012 4.390746
21.561456 1 9.986303 6.013529 4.072916 4.389805
21.692374 1 9.985452 6.061005 4.075832 4.388826
21.823310 1 9.984589 6.110052 4.078759 4.387808
21.954264 1 9.983712 6.160754 4.081697 4.386748
22.085238 1 9.982823 6.213200 4.084646 4.385644
22.216231 1 9.981919 6.267482 4.087606 4.384496
22.347244 1 9.981001 6.323701 4.090577 4.383299
22.478277 1 9.980069 6.381963 4.093559 4.382053
22.609330 1 9.979123 6.442380 4.096551 4.380755
22.740403 1 9.978162 6.505071 4.099555 4.379403
22.840403 1 9.977674 6.537309 4.101061 4.378706
22.940403 1 9.977182 6.570164 4.102569 4.377995
23.040403 1 9.976686 6.603653 4.104080 4.377268
23.140403 1 9.976186 6.637794 4.105593 4.376527
23.240403 1 9.975683 6.672606 4.107110 4.375770
23.340403 1 9.975175 6.708107 4.108629 4.374998
23.440403 1 9.974664 6.744318 4.110150 4.374209
23.540403 1 9.974148 6.781258 4.111674 4.373404
23.640403 1 9.973628 6.818948 4.113201 4.372582
23.740403 1 9.973104 6.857410 4.114731 4.371743
23.840403 1 9.972576 6.896667 4.116263 4.370887
23.940403 1 9.972044 6.936741 4.117798 4.370012
24.040403 1 9.971507 6.977656 4.119335 4.369120
24.140403 1 9.970966 7.019437 4.120876 4.368208
24.240403 1 9.970421 7.062109 4.122418 4.367278
24.340403 1 9.969871 7.105700 4.123964 4.366328
24.440403 1 9.969317 7.150236 4.125512 4.365358
24.540403 1 9.968759 7.195745 4.127062 4.364368
24.640403 1 9.968196 7.242257 4.128615 4.363357
24.740403 1 9.967628 7.289802 4.130171 4.362325
