t Ka M R logL logTeff
0.480701 1 7.000049 2.477210 3.280157 4.384198
0.961407 1 7.000014 2.488006 3.281961 4.383705
1.442118 1 6.999979 2.498857 3.283819 4.383225
1.922832 1 6.999944 2.509766 3.285730 4.382756
2.403552 1 6.999908 2.520740 3.287695 4.382300
2.884275 1 6.999871 2.531781 3.289713 4.381856
3.365004 1 6.999835 2.542895 3.291785 4.381423
3.845737 1 6.999797 2.554087 3.293911 4.381001
4.326475 1 6.999760 2.565359 3.296090 4.380589
4.807217 1 6.999722 2.576719 3.298323 4.380188
5.287964 1 6.999684 2.588170 3.300610 4.379797
5.768717 1 6.999645 2.599716 3.302950 4.379415
6.249474 1 6.999606 2.611364 3.305343 4.379043
6.730236 1 6.999566 2.623119 3.307791 4.378679
7.211003 1 6.999526 2.634984 3.310291 4.378324
7.691775 1 6.999485 2.646967 3.312846 4.377978
8.172552 1 6.999444 2.659071 3.315454 4.377639
8.653335 1 6.999402 2.671302 3.318115 4.377308
9.134123 1 6.999359 2.683666 3.320830 4.376984
9.614916 1 6.999316 2.696169 3.323599 4.376667
10.095714 1 6.999273 2.708816 3.326421 4.376356
10.576519 1 6.999228 2.721613 3.329297 4.376052
11.057328 1 6.999183 2.734565 3.332226 4.375753
11.538144 1 6.999138 2.747680 3.335209 4.375460
12.018965 1 6.999092 2.760962 3.338245 4.375172
12.499792 1 6.999045 2.774419 3.341335 4.374888
12.980625 1 6.998997 2.788056 3.344479 4.374609
13.461465 1 6.998948 2.801880 3.347676 4.374335
13.942310 1 6.998899 2.815898 3.350926 4.374064
14.423161 1 6.998849 2.830117 3.354230 4.373796
14.904019 1 6.998798 2.844543 3.357588 4.373531
15.384884 1 6.998746 2.859184 3.360999 4.373269
15.865754 1 6.998693 2.874047 3.364463 4.373009
16.346632 1 6.998640 2.889139 3.367981 4.372752
16.827516 1 6.998585 2.904469 3.371552 4.372495
17.308408 1 6.998529 2.920043 3.375177 4.372240
17.789306 1 6.998472 2.935871 3.378856 4.371986
18.270212 1 6.998415 2.951961 3.382588 4.371732
18.751125 1 6.998356 2.968320 3.386373 4.371478
19.232045 1 6.998296 2.984960 3.390212 4.371224
19.712973 1 6.998234 3.001888 3.394104 4.370969
20.193909 1 6.998172 3.019115 3.398050 4.370713
20.674852 1 6.998108 3.036650 3.402049 4.370455
21.155804 1 6.998043 3.054506 3.406101 4.370195
21.636764 1 6.997977 3.072692 3.410207 4.369933
22.117732 1 6.997909 3.091221 3.414366 4.369667
22.598709 1 6.997840 3.110106 3.418579 4.369398
23.079695 1 6.997769 3.129359 3.422845 4.369124
23.560690 1 6.997696 3.148995 3.427164 4.368846
24.041694 1 6.997622 3.169028 3.431537 4.368562
24.522707 1 6.997547 3.189476 3.435963 4.368272
25.003730 1 6.997470 3.210355 3.440442 4.367975
25.484762 1 6.997390 3.231684 3.444975 4.367670
25.965805 1 6.997309 3.253483 3.449561 4.367357
26.446858 1 6.997227 3.275774 3.454200 4.367034
26.927921 1 6.997142 3.298580 3.458893 4.366700
27.408996 1 6.997055 3.321927 3.463639 4.366355
27.890081 1 6.996966 3.345843 3.468438 4.365997
28.371177 1 6.996874 3.370358 3.473290 4.365625
28.852285 1 6.996781 3.395506 3.478195 4.365237
29.333405 1 6.996685 3.421323 3.483154 4.364832
29.814537 1 6.996587 3.447849 3.488166 4.364408
30.295682 1 6.996486 3.475129 3.493231 4.363963
30.776839 1 6.996382 3.503211 3.498349 4.363495
31.258010 1 6.996276 3.532149 3.503520 4.363001
31.739194 1 6.996167 3.562002 3.508744 4.362480
32.220392 1 6.996055 3.592835 3.514022 4.361927
32.701604 1 6.995940 3.624720 3.519352 4.361341
33.182830 1 6.995821 3.657737 3.524736 4.360718
