t Ka M R logL logTeff
0.100000 1 69.984221 9.602835 5.817141 4.724226
0.200000 1 69.968221 9.632053 5.818814 4.723985
0.300000 1 69.952078 9.661437 5.820520 4.723750
0.400000 1 69.935789 9.691031 5.822261 4.723521
0.500000 1 69.919350 9.720878 5.824035 4.723296
0.600000 1 69.902756 9.751021 5.825842 4.723076
0.700000 1 69.886003 9.781505 5.827683 4.722858
0.800000 1 69.869086 9.812373 5.829557 4.722643
0.900000 1 69.852002 9.843670 5.831464 4.722428
1.000000 1 69.834745 9.875443 5.833405 4.722213
1.100000 1 69.817311 9.907738 5.835379 4.721998
1.200000 1 69.799695 9.940600 5.837385 4.721781
1.300000 1 69.781891 9.974078 5.839425 4.721561
1.400000 1 69.763895 10.008219 5.841498 4.721337
1.500000 1 69.745702 10.043072 5.843604 4.721108
1.600000 1 69.727306 10.078687 5.845743 4.720874
1.700000 1 69.708702 10.115113 5.847914 4.720634
1.800000 1 69.689884 10.152401 5.850118 4.720386
1.900000 1 69.670846 10.190603 5.852354 4.720129
2.000000 1 69.651584 10.229771 5.854624 4.719863
2.100000 1 69.632090 10.269960 5.856925 4.719587
2.200000 1 69.612358 10.311222 5.859259 4.719300
2.300000 1 69.592383 10.353613 5.861625 4.719001
2.400000 1 69.572158 10.397190 5.864024 4.718688
2.500000 1 69.551676 10.442010 5.866454 4.718362
2.600000 1 69.530931 10.488131 5.868916 4.718021
2.700000 1 69.509915 10.535614 5.871411 4.717663
2.800000 1 69.488622 10.584519 5.873937 4.717289
2.900000 1 69.467045 10.634909 5.876495 4.716897
3.000000 1 69.445175 10.686848 5.879084 4.716487
3.100000 1 69.423005 10.740402 5.881705 4.716057
3.200000 1 69.400527 10.795637 5.884358 4.715606
3.300000 1 69.377734 10.852623 5.887041 4.715134
3.400000 1 69.354616 10.911431 5.889756 4.714639
3.500000 1 69.331166 10.972134 5.892502 4.714121
3.600000 1 69.307375 11.034808 5.895279 4.713578
3.700000 1 69.283233 11.099530 5.898087 4.713010
3.800000 1 69.258732 11.166380 5.900925 4.712416
3.900000 1 69.233862 11.235442 5.903794 4.711794
4.000000 1 69.208614 11.306803 5.906693 4.711144
4.100000 1 69.182977 11.380552 5.909623 4.710465
4.200000 1 69.156941 11.456781 5.912583 4.709755
4.300000 1 69.130496 11.535590 5.915573 4.709014
4.400000 1 69.103631 11.617078 5.918592 4.708240
4.500000 1 69.076335 11.701353 5.921642 4.707433
4.600000 1 69.048597 11.788526 5.924720 4.706591
4.700000 1 69.020405 11.878714 5.927829 4.705713
4.800000 1 68.991746 11.972041 5.930966 4.704798
4.900000 1 68.962609 12.068638 5.934133 4.703845
5.000000 1 68.932980 12.168641 5.937328 4.702852
5.100000 1 68.902847 12.272198 5.940552 4.701817
5.200000 1 68.872197 12.379465 5.943805 4.700741
5.300000 1 68.841015 12.490606 5.947086 4.699620
5.400000 1 68.809287 12.605800 5.950395 4.698454
5.500000 1 68.776954 12.725232 5.953731 4.697241
5.600000 1 68.743938 12.849099 5.957094 4.695978
