t Ka M R logL logTeff
0.668323 1 6.000042 2.516659 3.043145 4.321515
1.336656 1 6.000000 2.529076 3.044888 4.320882
2.004998 1 5.999957 2.541562 3.046681 4.320260
2.673350 1 5.999915 2.554119 3.048523 4.319651
3.341711 1 5.999871 2.566752 3.050414 4.319052
4.010082 1 5.999828 2.579464 3.052354 4.318464
4.678463 1 5.999784 2.592260 3.054343 4.317887
5.346854 1 5.999740 2.605143 3.056382 4.317320
6.015255 1 5.999695 2.618118 3.058469 4.316763
6.683665 1 5.999650 2.631189 3.060606 4.316216
7.352086 1 5.999604 2.644360 3.062792 4.315678
8.020518 1 5.999558 2.657635 3.065027 4.315150
8.688959 1 5.999512 2.671019 3.067311 4.314630
9.357411 1 5.999465 2.684517 3.069644 4.314119
10.025874 1 5.999418 2.698132 3.072027 4.313616
10.694347 1 5.999370 2.711870 3.074458 4.313121
11.362831 1 5.999321 2.725736 3.076939 4.312633
12.031326 1 5.999272 2.739734 3.079469 4.312154
12.699832 1 5.999223 2.753869 3.082048 4.311681
13.368349 1 5.999172 2.768147 3.084675 4.311215
14.036878 1 5.999121 2.782572 3.087353 4.310755
14.705418 1 5.999070 2.797150 3.090079 4.310302
15.373969 1 5.999018 2.811885 3.092854 4.309855
16.042533 1 5.998965 2.826784 3.095678 4.309414
16.711108 1 5.998911 2.841852 3.098551 4.308978
17.379695 1 5.998857 2.857094 3.101474 4.308547
18.048295 1 5.998802 2.872517 3.104445 4.308121
18.716906 1 5.998746 2.888126 3.107466 4.307699
19.385531 1 5.998690 2.903928 3.110535 4.307281
20.054168 1 5.998632 2.919928 3.113654 4.306868
20.722818 1 5.998574 2.936133 3.116821 4.306458
21.391482 1 5.998515 2.952549 3.120038 4.306051
22.060158 1 5.998455 2.969183 3.123303 4.305648
22.728848 1 5.998394 2.986042 3.126618 4.305247
23.397552 1 5.998332 3.003132 3.129982 4.304849
24.066270 1 5.998268 3.020462 3.133394 4.304452
24.735002 1 5.998204 3.038038 3.136856 4.304058
25.403749 1 5.998139 3.055869 3.140366 4.303665
26.072510 1 5.998073 3.073962 3.143926 4.303273
26.741286 1 5.998005 3.092325 3.147534 4.302882
27.410078 1 5.997937 3.110968 3.151191 4.302491
28.078884 1 5.997867 3.129900 3.154898 4.302100
28.747707 1 5.997796 3.149129 3.158653 4.301709
29.416546 1 5.997723 3.168667 3.162457 4.301317
30.085401 1 5.997650 3.188524 3.166310 4.300923
30.754272 1 5.997575 3.208710 3.170212 4.300528
31.423161 1 5.997498 3.229238 3.174163 4.300131
32.092067 1 5.997420 3.250120 3.178162 4.299731
32.760990 1 5.997340 3.271370 3.182211 4.299328
33.429931 1 5.997259 3.293002 3.186308 4.298922
34.098891 1 5.997176 3.315032 3.190454 4.298510
34.767869 1 5.997092 3.337477 3.194649 4.298094
35.436867 1 5.997005 3.360354 3.198893 4.297671
36.105883 1 5.996917 3.383683 3.203186 4.297242
36.774920 1 5.996828 3.407486 3.207527 4.296805
37.443977 1 5.996736 3.431785 3.211917 4.296360
38.113055 1 5.996642 3.456606 3.216356 4.295905
38.782153 1 5.996546 3.481977 3.220843 4.295438
39.451274 1 5.996448 3.507929 3.225380 4.294960
40.120416 1 5.996348 3.534493 3.229964 4.294468
40.789581 1 5.996246 3.561708 3.234598 4.293961
41.458769 1 5.996141 3.589614 3.239280 4.293437
42.127981 1 5.996034 3.618256 3.244011 4.292894
42.797217 1 5.995924 3.647682 3.248790 4.292330
43.466478 1 5.995812 3.677948 3.253618 4.291742
44.135764 1 5.995698 3.709114 3.258495 4.291129
44.805075 1 5.995580 3.741247 3.263420 4.290487
45.474414 1 5.995460 3.774421 3.268393 4.289814
46.143779 1 5.995337 3.808717 3.273416 4.289105
46.813172 1 5.995211 3.844229 3.278486 4.288357
47.482594 1 5.995082 3.881056 3.283605 4.287567
48.152045 1 5.994949 3.919312 3.288772 4.286729
48.486785 1 5.994882 3.939014 3.291374 4.286290
48.821533 1 5.994813 3.959121 3.293988 4.285838
49.156289 1 5.994744 3.979651 3.296614 4.285372
49.491052 1 5.994673 4.000623 3.299252 4.284890
49.825824 1 5.994602 4.022056 3.301902 4.284392
50.160604 1 5.994530 4.043973 3.304564 4.283877
50.495391 1 5.994457 4.066394 3.307238 4.283345
50.830187 1 5.994383 4.089344 3.309925 4.282795
51.164991 1 5.994308 4.112846 3.312623 4.282225
51.499804 1 5.994233 4.136928 3.315334 4.281635
51.834625 1 5.994156 4.161616 3.318056 4.281024
52.169455 1 5.994079 4.186939 3.320791 4.280390
52.504294 1 5.994000 4.212930 3.323537 4.279733
52.839141 1 5.993920 4.239619 3.326296 4.279051
53.173998 1 5.993840 4.267041 3.329067 4.278344
53.508864 1 5.993758 4.295233 3.331849 4.277610
53.843738 1 5.993676 4.324234 3.334644 4.276847
54.178623 1 5.993592 4.354083 3.337451 4.276055
54.513516 1 5.993507 4.384824 3.340270 4.275232
54.848419 1 5.993422 4.416502 3.343101 4.274377
55.183332 1 5.993335 4.449166 3.345944 4.273487
55.518255 1 5.993247 4.482867 3.348799 4.272562
55.853187 1 5.993158 4.517660 3.351666 4.271600
56.188130 1 5.993068 4.553600 3.354545 4.270599
56.523083 1 5.992977 4.590751 3.357436 4.269558
56.858046 1 5.992885 4.629176 3.360339 4.268473
57.193019 1 5.992792 4.668944 3.363254 4.267345
57.528003 1 5.992697 4.710128 3.366181 4.266169
57.862998 1 5.992601 4.752805 3.369120 4.264946
58.198004 1 5.992505 4.797059 3.372071 4.263671
58.533020 1 5.992407 4.842976 3.375034 4.262343
58.868048 1 5.992307 4.890650 3.378009 4.260960
59.035567 1 5.992257 4.915177 3.379501 4.260246
59.203089 1 5.992207 4.940181 3.380996 4.259518
59.370614 1 5.992156 4.965675 3.382494 4.258775
59.538142 1 5.992105 4.991674 3.383995 4.258016
59.705673 1 5.992054 5.018191 3.385499 4.257242
59.873207 1 5.992002 5.045241 3.387006 4.256451
60.040743 1 5.991950 5.072841 3.388516 4.255644
60.208283 1 5.991898 5.101005 3.390029 4.254820
60.375826 1 5.991845 5.129750 3.391545 4.253979
60.543371 1 5.991793 5.159092 3.393064 4.253120
60.710920 1 5.991739 5.189050 3.394586 4.252243
60.878471 1 5.991686 5.219641 3.396111 4.251348
61.046026 1 5.991632 5.250884 3.397639 4.250434
61.213583 1 5.991578 5.282798 3.399170 4.249501
61.381144 1 5.991524 5.315404 3.400704 4.248548
61.548707 1 5.991469 5.348721 3.402240 4.247576
61.716274 1 5.991414 5.382771 3.403780 4.246583
61.883844 1 5.991359 5.417577 3.405323 4.245569
62.051417 1 5.991304 5.453160 3.406869 4.244534
62.218993 1 5.991248 5.489546 3.408418 4.243477
62.386573 1 5.991192 5.526758 3.409970 4.242398
62.554155 1 5.991135 5.564822 3.411525 4.241296
62.721741 1 5.991079 5.603764 3.413083 4.240171
62.889330 1 5.991022 5.643612 3.414644 4.239023
63.056922 1 5.990964 5.684393 3.416208 4.237850
63.224517 1 5.990907 5.726138 3.417775 4.236653
63.392116 1 5.990849 5.768876 3.419345 4.235431
63.559717 1 5.990791 5.812640 3.420917 4.234183
63.727323 1 5.990732 5.857462 3.422493 4.232909
63.894931 1 5.990673 5.903376 3.424072 4.231608
64.062543 1 5.990614 5.950417 3.425654 4.230280
64.230158 1 5.990555 5.998622 3.427239 4.228925
64.397776 1 5.990495 6.048029 3.428827 4.227540
64.565398 1 5.990436 6.098677 3.430418 4.226127
64.733023 1 5.990375 6.150609 3.432012 4.224684
64.900652 1 5.990315 6.203865 3.433609 4.223212
65.068284 1 5.990254 6.258491 3.435209 4.221708
65.235920 1 5.990193 6.314534 3.436811 4.220173
65.403559 1 5.990132 6.372040 3.438417 4.218606
65.571201 1 5.990070 6.431059 3.440026 4.217006
65.738847 1 5.990009 6.491645 3.441638 4.215373
65.906496 1 5.989947 6.553850 3.443253 4.213706
66.074149 1 5.989884 6.617732 3.444871 4.212004
66.241806 1 5.989822 6.683349 3.446492 4.210266
66.577126 1 5.989696 6.636429 3.468504 4.217299
66.677126 1 5.989678 6.577055 3.473894 4.220598
66.777126 1 5.989670 6.545466 3.476437 4.222279
66.877126 1 5.989662 6.512587 3.478922 4.223994
66.977126 1 5.989655 6.478807 3.481342 4.225729
67.077126 1 5.989648 6.444478 3.483689 4.227469
67.177126 1 5.989641 6.409906 3.485959 4.229205
67.277126 1 5.989635 6.375361 3.488148 4.230925
67.377126 1 5.989629 6.341071 3.490253 4.232623
67.477126 1 5.989623 6.307232 3.492274 4.234290
67.577126 1 5.989618 6.274007 3.494210 4.235921
67.677126 1 5.989612 6.241529 3.496061 4.237510
67.777126 1 5.989607 6.209906 3.497828 4.239055
67.877126 1 5.989603 6.179222 3.499513 4.240552
67.977126 1 5.989594 6.118972 3.502745 4.243488
68.077126 1 5.989586 6.063338 3.505652 4.246198
68.177126 1 5.989579 6.012425 3.508254 4.248679
68.277126 1 5.989572 5.966168 3.510578 4.250937
68.377126 1 5.989567 5.924389 3.512646 4.252980
68.477126 1 5.989561 5.886838 3.514482 4.254820
68.577126 1 5.989557 5.853223 3.516110 4.256471
68.677126 1 5.989553 5.823232 3.517550 4.257946
68.777126 1 5.989546 5.769457 3.520105 4.260599
68.877126 1 5.989541 5.728057 3.522051 4.262650
68.977126 1 5.989537 5.696410 3.523527 4.264222
