t Ka M R logL logTeff
9.158563 1 2.000081 1.377794 1.326536 4.023182
18.317158 1 2.000079 1.382965 1.328444 4.022846
27.475786 1 2.000076 1.388161 1.330381 4.022516
36.634446 1 2.000074 1.393386 1.332347 4.022192
45.793139 1 2.000071 1.398643 1.334342 4.021873
54.951865 1 2.000068 1.403935 1.336367 4.021559
64.110625 1 2.000066 1.409265 1.338422 4.021250
73.269418 1 2.000063 1.414637 1.340505 4.020944
82.428246 1 2.000060 1.420055 1.342618 4.020643
91.587108 1 2.000057 1.425521 1.344761 4.020344
100.746004 1 2.000054 1.431039 1.346932 4.020048
109.904936 1 2.000052 1.436613 1.349133 4.019754
119.063903 1 2.000049 1.442247 1.351364 4.019462
128.222906 1 2.000046 1.447943 1.353624 4.019171
137.381945 1 2.000043 1.453707 1.355913 4.018880
146.541020 1 2.000040 1.459541 1.358231 4.018590
155.700132 1 2.000037 1.465450 1.360579 4.018300
164.859282 1 2.000034 1.471437 1.362956 4.018009
174.018468 1 2.000031 1.477506 1.365363 4.017717
183.177693 1 2.000028 1.483663 1.367799 4.017423
192.336956 1 2.000025 1.489909 1.370264 4.017127
201.496257 1 2.000022 1.496251 1.372758 4.016828
210.655598 1 2.000019 1.502691 1.375282 4.016526
219.814978 1 2.000015 1.509235 1.377836 4.016221
228.974398 1 2.000012 1.515887 1.380418 4.015912
238.133858 1 2.000009 1.522652 1.383030 4.015598
247.293359 1 2.000005 1.529533 1.385672 4.015279
256.452901 1 2.000002 1.536536 1.388343 4.014955
265.612485 1 1.999999 1.543665 1.391043 4.014625
274.772112 1 1.999995 1.550926 1.393772 4.014288
283.931780 1 1.999992 1.558322 1.396531 4.013945
293.091493 1 1.999988 1.565861 1.399319 4.013594
302.251248 1 1.999985 1.573545 1.402137 4.013235
311.411048 1 1.999981 1.581382 1.404984 4.012868
320.570893 1 1.999978 1.589376 1.407860 4.012492
329.730783 1 1.999974 1.597533 1.410765 4.012107
338.890718 1 1.999970 1.605859 1.413700 4.011712
348.050701 1 1.999966 1.614360 1.416664 4.011307
357.210730 1 1.999963 1.623041 1.419658 4.010890
366.370807 1 1.999959 1.631910 1.422681 4.010463
375.530932 1 1.999955 1.640972 1.425733 4.010023
384.691106 1 1.999951 1.650234 1.428815 4.009571
393.851329 1 1.999947 1.659704 1.431926 4.009107
403.011603 1 1.999943 1.669388 1.435066 4.008628
412.171927 1 1.999939 1.679294 1.438236 4.008136
421.332303 1 1.999934 1.689430 1.441434 4.007629
430.492731 1 1.999930 1.699805 1.444663 4.007107
439.653212 1 1.999926 1.710425 1.447920 4.006569
