t Ka M R logL logTeff
0.384846 1 7.999944 2.976074 3.449375 4.386662
0.769705 1 7.999804 2.990098 3.451168 4.386090
1.154576 1 7.999661 3.004196 3.453013 4.385530
1.539459 1 7.999518 3.018374 3.454909 4.384981
1.924355 1 7.999373 3.032636 3.456856 4.384444
2.309264 1 7.999226 3.046988 3.458855 4.383919
2.694185 1 7.999079 3.061434 3.460904 4.383404
3.079119 1 7.998929 3.075979 3.463005 4.382900
3.464066 1 7.998778 3.090630 3.465157 4.382406
3.849027 1 7.998625 3.105390 3.467360 4.381922
4.234001 1 7.998471 3.120267 3.469614 4.381448
4.618988 1 7.998315 3.135265 3.471919 4.380983
5.003989 1 7.998156 3.150389 3.474275 4.380527
5.389004 1 7.997996 3.165647 3.476683 4.380080
5.774033 1 7.997834 3.181043 3.479141 4.379641
6.159076 1 7.997670 3.196583 3.481651 4.379210
6.544133 1 7.997504 3.212275 3.484212 4.378787
6.929205 1 7.997336 3.228123 3.486824 4.378371
7.314292 1 7.997165 3.244134 3.489486 4.377963
7.699393 1 7.996992 3.260314 3.492200 4.377561
8.084510 1 7.996817 3.276670 3.494965 4.377165
8.469642 1 7.996639 3.293210 3.497781 4.376776
8.854789 1 7.996458 3.309938 3.500648 4.376393
9.239953 1 7.996275 3.326863 3.503566 4.376015
9.625132 1 7.996089 3.343991 3.506534 4.375642
10.010327 1 7.995901 3.361330 3.509554 4.375274
10.395540 1 7.995709 3.378886 3.512625 4.374910
10.780768 1 7.995514 3.396668 3.515746 4.374551
11.166014 1 7.995317 3.414683 3.518919 4.374195
11.551278 1 7.995115 3.432939 3.522142 4.373843
11.936559 1 7.994911 3.451443 3.525416 4.373494
12.321857 1 7.994703 3.470205 3.528741 4.373148
12.707174 1 7.994492 3.489232 3.532117 4.372805
13.092510 1 7.994277 3.508533 3.535543 4.372464
13.477864 1 7.994058 3.528117 3.539020 4.372124
13.863237 1 7.993835 3.547993 3.542548 4.371786
14.248630 1 7.993608 3.568171 3.546127 4.371450
14.634043 1 7.993377 3.588661 3.549757 4.371114
15.019476 1 7.993141 3.609472 3.553437 4.370778
15.404930 1 7.992902 3.630615 3.557167 4.370442
15.790405 1 7.992657 3.652102 3.560949 4.370106
16.175901 1 7.992408 3.673943 3.564781 4.369770
16.561419 1 7.992154 3.696150 3.568663 4.369432
16.946959 1 7.991894 3.718737 3.572596 4.369092
17.332522 1 7.991630 3.741716 3.576580 4.368750
17.718108 1 7.991360 3.765102 3.580614 4.368406
18.103718 1 7.991084 3.788909 3.584698 4.368058
18.489352 1 7.990803 3.813153 3.588833 4.367707
18.875011 1 7.990515 3.837852 3.593018 4.367351
