t Ka M R logL logTeff
0.928570 1 5.000076 2.027530 2.803347 4.308494
1.857143 1 5.000067 2.037120 2.805098 4.307907
2.785719 1 5.000059 2.046760 2.806900 4.307332
3.714298 1 5.000050 2.056454 2.808753 4.306769
4.642881 1 5.000042 2.066204 2.810656 4.306218
5.571466 1 5.000033 2.076014 2.812610 4.305678
6.500056 1 5.000024 2.085887 2.814615 4.305149
7.428648 1 5.000015 2.095826 2.816671 4.304631
8.357244 1 5.000006 2.105835 2.818777 4.304123
9.285844 1 4.999997 2.115915 2.820934 4.303625
10.214447 1 4.999988 2.126072 2.823141 4.303137
11.143053 1 4.999979 2.136308 2.825399 4.302659
12.071663 1 4.999970 2.146626 2.827708 4.302189
13.000277 1 4.999961 2.157031 2.830068 4.301729
13.928894 1 4.999951 2.167526 2.832478 4.301278
14.857515 1 4.999942 2.178114 2.834939 4.300835
15.786139 1 4.999932 2.188800 2.837450 4.300400
16.714767 1 4.999922 2.199586 2.840013 4.299973
17.643399 1 4.999912 2.210477 2.842625 4.299554
18.572035 1 4.999902 2.221477 2.845289 4.299142
19.500674 1 4.999892 2.232590 2.848003 4.298737
20.429318 1 4.999882 2.243820 2.850768 4.298339
21.357965 1 4.999871 2.255170 2.853583 4.297947
22.286617 1 4.999861 2.266646 2.856450 4.297561
23.215272 1 4.999850 2.278251 2.859366 4.297181
24.143932 1 4.999839 2.289990 2.862334 4.296807
25.072596 1 4.999828 2.301868 2.865352 4.296438
26.001264 1 4.999817 2.313888 2.868421 4.296075
26.929937 1 4.999805 2.326056 2.871540 4.295716
27.858613 1 4.999794 2.338376 2.874710 4.295361
28.787295 1 4.999782 2.350854 2.877931 4.295010
29.715980 1 4.999770 2.363494 2.881202 4.294664
30.644671 1 4.999758 2.376301 2.884524 4.294321
31.573365 1 4.999746 2.389281 2.887897 4.293981
32.502065 1 4.999733 2.402439 2.891320 4.293644
33.430770 1 4.999721 2.415781 2.894794 4.293310
34.359479 1 4.999708 2.429312 2.898318 4.292978
35.288193 1 4.999695 2.443039 2.901893 4.292649
36.216913 1 4.999681 2.456968 2.905519 4.292321
37.145637 1 4.999668 2.471104 2.909196 4.291994
38.074367 1 4.999654 2.485456 2.912923 4.291668
39.003102 1 4.999640 2.500029 2.916700 4.291343
39.931842 1 4.999626 2.514831 2.920529 4.291018
40.860588 1 4.999611 2.529870 2.924407 4.290693
41.789340 1 4.999596 2.545154 2.928337 4.290368
42.718097 1 4.999581 2.560691 2.932317 4.290041
43.646860 1 4.999565 2.576491 2.936348 4.289713
44.575629 1 4.999549 2.592563 2.940429 4.289383
45.504404 1 4.999533 2.608917 2.944561 4.289051
46.433186 1 4.999517 2.625565 2.948743 4.288715
47.361974 1 4.999500 2.642518 2.952976 4.288376
48.290768 1 4.999483 2.659789 2.957260 4.288032
49.219569 1 4.999465 2.677392 2.961594 4.287683
50.148376 1 4.999448 2.695341 2.965979 4.287329
51.077190 1 4.999429 2.713652 2.970415 4.286967
52.006012 1 4.999411 2.732345 2.974901 4.286598
52.934840 1 4.999392 2.751436 2.979437 4.286220
53.863676 1 4.999372 2.770948 2.984024 4.285832
54.792520 1 4.999352 2.790903 2.988662 4.285434
55.721371 1 4.999332 2.811327 2.993350 4.285022
56.650230 1 4.999311 2.832247 2.998089 4.284597
57.579097 1 4.999290 2.853695 3.002878 4.284156
