t Ka M R logL logTeff
0.100000 1 79.830257 14.862729 5.936872 4.659309
0.200000 1 79.659201 14.944469 5.937481 4.658271
0.300000 1 79.486903 15.026408 5.938101 4.657238
0.400000 1 79.313348 15.108591 5.938732 4.656211
0.500000 1 79.138520 15.191063 5.939373 4.655190
0.600000 1 78.962405 15.273871 5.940025 4.654172
0.700000 1 78.784987 15.357062 5.940686 4.653158
0.800000 1 78.606251 15.440682 5.941357 4.652147
0.900000 1 78.426180 15.524781 5.942037 4.651137
1.000000 1 78.244761 15.609408 5.942726 4.650129
1.100000 1 78.061976 15.694613 5.943423 4.649121
1.200000 1 77.877811 15.780447 5.944128 4.648113
1.300000 1 77.692249 15.866961 5.944840 4.647104
1.400000 1 77.505274 15.954207 5.945560 4.646093
1.500000 1 77.316873 16.042241 5.946286 4.645080
1.600000 1 77.127028 16.131114 5.947019 4.644063
1.700000 1 76.935725 16.220882 5.947757 4.643043
1.800000 1 76.742949 16.311602 5.948500 4.642017
1.900000 1 76.548684 16.403329 5.949249 4.640987
2.000000 1 76.352918 16.496122 5.950002 4.639950
2.100000 1 76.155635 16.590039 5.950759 4.638907
2.200000 1 75.956821 16.685140 5.951520 4.637856
2.300000 1 75.756464 16.781485 5.952284 4.636796
2.400000 1 75.554551 16.879136 5.953050 4.635728
2.500000 1 75.351070 16.978157 5.953819 4.634650
2.600000 1 75.146008 17.078610 5.954590 4.633562
2.700000 1 74.939355 17.180562 5.955363 4.632463
2.800000 1 74.731100 17.284079 5.956136 4.631351
2.900000 1 74.521235 17.389229 5.956910 4.630228
3.000000 1 74.309749 17.496082 5.957684 4.629091
3.100000 1 74.096636 17.604710 5.958457 4.627940
3.200000 1 73.881889 17.715186 5.959230 4.626775
3.300000 1 73.665501 17.827584 5.960002 4.625595
3.400000 1 73.447468 17.941983 5.960772 4.624398
3.500000 1 73.227787 18.058463 5.961539 4.623185
3.600000 1 73.006454 18.177106 5.962305 4.621954
3.700000 1 72.783470 18.297997 5.963068 4.620706
3.800000 1 72.558834 18.421227 5.963827 4.619438
3.900000 1 72.332548 18.546887 5.964583 4.618151
4.000000 1 72.104616 18.675075 5.965335 4.616843
4.100000 1 71.875043 18.805892 5.966082 4.615514
4.200000 1 71.643836 18.939445 5.966825 4.614163
4.300000 1 71.411004 19.075848 5.967563 4.612789
4.400000 1 71.176558 19.215219 5.968295 4.611392
4.500000 1 70.940511 19.357686 5.969022 4.609969
4.600000 1 70.702877 19.503385 5.969743 4.608521
4.700000 1 70.463675 19.652460 5.970458 4.607047
4.800000 1 70.222925 19.805068 5.971167 4.605544
4.900000 1 69.980650 19.961376 5.971869 4.604012
5.000000 1 69.736875 20.121568 5.972564 4.602451
5.100000 1 69.491630 20.285839 5.973253 4.600857
5.200000 1 69.244946 20.454405 5.973935 4.599231
5.300000 1 68.996860 20.627501 5.974610 4.597570
5.400000 1 68.747410 20.805383 5.975278 4.595872
5.500000 1 68.496640 20.988332 5.975940 4.594137
5.600000 1 68.244598 21.176658 5.976595 4.592360
5.700000 1 67.991336 21.370702 5.977243 4.590542
5.800000 1 67.736912 21.570841 5.977885 4.588678
5.900000 1 67.481388 21.777492 5.978521 4.586767
6.000000 1 67.224833 21.991115 5.979152 4.584805
6.100000 1 67.096078 22.100668 5.979464 4.583804
6.200000 1 66.967100 22.212162 5.979775 4.582789
6.300000 1 66.837910 22.325669 5.980085 4.581760
6.400000 1 66.708519 22.441267 5.980394 4.580715
6.500000 1 66.578938 22.559037 5.980702 4.579656
6.600000 1 66.449180 22.679064 5.981009 4.578580
6.700000 1 66.319258 22.801440 5.981316 4.577488
6.800000 1 66.189185 22.926261 5.981622 4.576380
6.900000 1 66.058975 23.053626 5.981928 4.575253
7.000000 1 65.928644 23.183642 5.982234 4.574108
7.100000 1 65.798205 23.316424 5.982539 4.572944
7.200000 1 65.667676 23.452089 5.982845 4.571761
7.300000 1 65.537073 23.590764 5.983151 4.570557
7.400000 1 65.406414 23.732583 5.983457 4.569332
7.500000 1 65.275717 23.877685 5.983764 4.568085
7.600000 1 65.145001 24.026222 5.984071 4.566816
7.700000 1 65.014287 24.178350 5.984380 4.565522
7.800000 1 64.883596 24.334238 5.984690 4.564204
7.900000 1 64.752950 24.494062 5.985001 4.562860
8.000000 1 64.622372 24.658011 5.985314 4.561490
8.100000 1 64.491887 24.826283 5.985630 4.560092
8.200000 1 64.361519 24.999089 5.985948 4.558665
8.300000 1 64.231296 25.176654 5.986268 4.557209
8.400000 1 64.101245 25.359214 5.986591 4.555721
