t Ka M R logL logTeff
0.312287 1 9.000058 3.189773 3.610687 4.411932
0.624576 1 9.000033 3.204810 3.612537 4.411374
0.936866 1 9.000007 3.219927 3.614439 4.410827
1.249158 1 8.999981 3.235130 3.616392 4.410293
1.561451 1 8.999954 3.250424 3.618397 4.409770
1.873746 1 8.999927 3.265814 3.620453 4.409258
2.186042 1 8.999900 3.281307 3.622561 4.408757
2.498340 1 8.999873 3.296907 3.624720 4.408267
2.810640 1 8.999845 3.312621 3.626931 4.407788
3.122942 1 8.999817 3.328454 3.629194 4.407318
3.435245 1 8.999789 3.344413 3.631508 4.406858
3.747550 1 8.999760 3.360503 3.633874 4.406407
4.059856 1 8.999731 3.376731 3.636291 4.405965
4.372164 1 8.999702 3.393102 3.638760 4.405532
4.684474 1 8.999672 3.409624 3.641281 4.405107
4.996786 1 8.999642 3.426303 3.643853 4.404691
5.309100 1 8.999612 3.443145 3.646476 4.404282
5.621415 1 8.999581 3.460158 3.649151 4.403880
5.933733 1 8.999550 3.477347 3.651878 4.403486
6.246052 1 8.999518 3.494721 3.654656 4.403098
6.558373 1 8.999486 3.512286 3.657486 4.402717
6.870696 1 8.999453 3.530049 3.660367 4.402342
7.183021 1 8.999420 3.548019 3.663300 4.401973
7.495348 1 8.999387 3.566202 3.666284 4.401609
7.807677 1 8.999352 3.584606 3.669320 4.401250
8.120008 1 8.999318 3.603239 3.672407 4.400896
8.432341 1 8.999283 3.622109 3.675546 4.400546
8.744676 1 8.999247 3.641224 3.678737 4.400201
9.057014 1 8.999211 3.660593 3.681979 4.399860
9.369353 1 8.999174 3.680225 3.685272 4.399521
9.681695 1 8.999136 3.700127 3.688617 4.399187
9.994039 1 8.999098 3.720309 3.692014 4.398855
10.306386 1 8.999059 3.740781 3.695462 4.398525
10.618734 1 8.999019 3.761551 3.698962 4.398197
10.931085 1 8.998979 3.782630 3.702513 4.397872
11.243439 1 8.998625 3.803949 3.706068 4.397540
11.555814 1 8.998264 3.825594 3.709673 4.397209
11.868210 1 8.997897 3.847577 3.713329 4.396879
12.180629 1 8.997523 3.869908 3.717036 4.396549
12.493070 1 8.997141 3.892599 3.720793 4.396219
12.805534 1 8.996752 3.915661 3.724601 4.395888
13.118021 1 8.996356 3.939108 3.728459 4.395556
13.430532 1 8.995951 3.962951 3.732367 4.395223
13.743068 1 8.995538 3.987205 3.736326 4.394888
14.055628 1 8.995117 4.011885 3.740335 4.394550
14.368214 1 8.994687 4.037005 3.744395 4.394210
14.680826 1 8.994248 4.062581 3.748504 4.393866
14.993464 1 8.993800 4.088631 3.752664 4.393518
15.306129 1 8.993342 4.115174 3.756874 4.393165
15.618822 1 8.992874 4.142227 3.761133 4.392807
15.931543 1 8.992396 4.169813 3.765443 4.392443
16.244292 1 8.991907 4.197955 3.769803 4.392072
16.557071 1 8.991407 4.226676 3.774213 4.391694
16.869881 1 8.990896 4.256003 3.778672 4.391308
17.182721 1 8.990372 4.285964 3.783182 4.390912
17.495592 1 8.989837 4.316591 3.787741 4.390505
17.808496 1 8.989289 4.347918 3.792349 4.390087
18.121433 1 8.988727 4.379982 3.797008 4.389656
18.434404 1 8.988152 4.412823 3.801715 4.389211
18.747410 1 8.987563 4.446487 3.806473 4.388750
19.060451 1 8.986960 4.481023 3.811279 4.388272
19.373528 1 8.986341 4.516483 3.816135 4.387774
19.686643 1 8.985707 4.552929 3.821040 4.387255
19.999796 1 8.985057 4.590426 3.825994 4.386713
20.312989 1 8.984390 4.629046 3.830997 4.386144
20.626221 1 8.983706 4.668870 3.836049 4.385547
20.939495 1 8.983003 4.709986 3.841149 4.384918
21.252812 1 8.982282 4.752495 3.846299 4.384254
21.566172 1 8.981542 4.796503 3.851497 4.383552
21.879577 1 8.980781 4.842134 3.856743 4.382808
22.193028 1 8.980000 4.889521 3.862038 4.382017
22.349777 1 8.979599 4.913919 3.864703 4.381602
22.506538 1 8.979192 4.938813 3.867381 4.381174
22.663312 1 8.978779 4.964225 3.870070 4.380732
22.820098 1 8.978361 4.990177 3.872771 4.380275
22.976896 1 8.977937 5.016693 3.875484 4.379803
23.133708 1 8.977507 5.043798 3.878209 4.379314
23.290532 1 8.977070 5.071519 3.880946 4.378808
23.447370 1 8.976628 5.099883 3.883695 4.378284
23.604221 1 8.976179 5.128920 3.886456 4.377742
23.761086 1 8.975724 5.158660 3.889229 4.377179
23.917964 1 8.975263 5.189138 3.892014 4.376596
24.074857 1 8.974795 5.220387 3.894811 4.375992
24.231764 1 8.974319 5.252444 3.897619 4.375365
24.388685 1 8.973837 5.285347 3.900439 4.374714
24.545621 1 8.973348 5.319139 3.903271 4.374038
24.702571 1 8.972852 5.353861 3.906115 4.373336
24.859537 1 8.972349 5.389560 3.908971 4.372607
25.016518 1 8.971838 5.426285 3.911838 4.371849
25.173514 1 8.971319 5.464086 3.914717 4.371061
25.330526 1 8.970793 5.503017 3.917608 4.370242
25.487554 1 8.970259 5.543137 3.920510 4.369390
25.644598 1 8.969716 5.584505 3.923424 4.368504
25.801659 1 8.969166 5.627187 3.926350 4.367582
25.958737 1 8.968607 5.671251 3.929287 4.366623
26.115831 1 8.968040 5.716768 3.932236 4.365624
26.272943 1 8.967464 5.763817 3.935196 4.364585
26.430072 1 8.966879 5.812479 3.938168 4.363502
