t Ka M R logL logTeff
0.100000 1 39.996024 7.050721 5.331938 4.670008
0.200000 1 39.991922 7.076531 5.333934 4.669714
0.300000 1 39.987775 7.102477 5.335961 4.669426
0.400000 1 39.983583 7.128580 5.338020 4.669144
0.500000 1 39.979345 7.154865 5.340109 4.668867
0.600000 1 39.975060 7.181355 5.342230 4.668595
0.700000 1 39.970727 7.208073 5.344382 4.668326
0.800000 1 39.966343 7.235044 5.346565 4.668061
0.900000 1 39.961909 7.262292 5.348779 4.667798
1.000000 1 39.957422 7.289842 5.351023 4.667537
1.100000 1 39.952882 7.317720 5.353299 4.667278
1.200000 1 39.948287 7.345951 5.355606 4.667018
1.300000 1 39.943635 7.374561 5.357944 4.666758
1.400000 1 39.938926 7.403576 5.360313 4.666498
1.500000 1 39.934158 7.433024 5.362712 4.666236
1.600000 1 39.929329 7.462931 5.365142 4.665971
1.700000 1 39.924438 7.493326 5.367603 4.665704
1.800000 1 39.919483 7.524236 5.370095 4.665433
1.900000 1 39.914462 7.555689 5.372618 4.665158
2.000000 1 39.909375 7.587716 5.375171 4.664878
2.100000 1 39.904218 7.620346 5.377755 4.664592
2.200000 1 39.898991 7.653608 5.380369 4.664300
2.300000 1 39.893692 7.687533 5.383014 4.664001
2.400000 1 39.888318 7.722153 5.385690 4.663694
2.500000 1 39.882868 7.757500 5.388396 4.663379
2.600000 1 39.877340 7.793606 5.391133 4.663054
2.700000 1 39.871732 7.830504 5.393899 4.662721
2.800000 1 39.866041 7.868228 5.396697 4.662376
2.900000 1 39.860266 7.906813 5.399524 4.662021
3.000000 1 39.854405 7.946294 5.402382 4.661654
3.100000 1 39.848454 7.986708 5.405270 4.661274
3.200000 1 39.842412 8.028092 5.408188 4.660881
3.300000 1 39.836277 8.070483 5.411137 4.660475
3.400000 1 39.830046 8.113922 5.414115 4.660054
3.500000 1 39.823716 8.158448 5.417123 4.659618
3.600000 1 39.817285 8.204102 5.420162 4.659165
3.700000 1 39.810751 8.250929 5.423230 4.658697
3.800000 1 39.804109 8.298971 5.426328 4.658210
3.900000 1 39.797359 8.348274 5.429456 4.657706
4.000000 1 39.790497 8.398886 5.432613 4.657183
4.100000 1 39.783519 8.450856 5.435801 4.656640
4.200000 1 39.776423 8.504234 5.439017 4.656077
4.300000 1 39.769206 8.559074 5.442264 4.655493
4.400000 1 39.761865 8.615431 5.445539 4.654887
4.500000 1 39.754396 8.673363 5.448845 4.654258
4.600000 1 39.746796 8.732932 5.452179 4.653605
4.700000 1 39.739062 8.794200 5.455543 4.652928
4.800000 1 39.731189 8.857235 5.458936 4.652225
4.900000 1 39.723176 8.922108 5.462357 4.651496
5.000000 1 39.715017 8.988895 5.465808 4.650739
5.100000 1 39.706709 9.057675 5.469288 4.649954
5.200000 1 39.698248 9.128533 5.472797 4.649139
5.300000 1 39.689631 9.201561 5.476334 4.648293
5.400000 1 39.680853 9.276854 5.479900 4.647415
5.500000 1 39.671911 9.354518 5.483495 4.646504
5.600000 1 39.662799 9.434663 5.487118 4.645557
5.700000 1 39.653514 9.517412 5.490770 4.644574
5.800000 1 39.644052 9.602893 5.494450 4.643552
5.900000 1 39.634408 9.691248 5.498158 4.642490
6.000000 1 39.624578 9.782630 5.501894 4.641386
6.100000 1 39.614557 9.877205 5.505658 4.640238
6.200000 1 39.604340 9.975156 5.509451 4.639043
6.300000 1 39.599132 10.025455 5.511357 4.638428
6.400000 1 39.593874 10.076673 5.513270 4.637799
6.500000 1 39.588563 10.128838 5.515190 4.637158
6.600000 1 39.583201 10.181979 5.517116 4.636504
6.700000 1 39.577787 10.236127 5.519050 4.635835
6.800000 1 39.572319 10.291313 5.520991 4.635153
6.900000 1 39.566798 10.347571 5.522938 4.634456
7.000000 1 39.561222 10.404935 5.524892 4.633744
7.100000 1 39.555592 10.463443 5.526854 4.633017
7.200000 1 39.549906 10.523133 5.528822 4.632273
7.300000 1 39.544165 10.584045 5.530796 4.631514
7.400000 1 39.538367 10.646222 5.532778 4.630737
7.500000 1 39.532512 10.709709 5.534767 4.629943
7.600000 1 39.526599 10.774552 5.536762 4.629131
7.700000 1 39.520629 10.840801 5.538764 4.628301
7.800000 1 39.514600 10.908508 5.540773 4.627451
7.900000 1 39.508513 10.977727 5.542789 4.626582
8.000000 1 39.502365 11.048516 5.544811 4.625691
8.100000 1 39.496158 11.120935 5.546840 4.624780
8.200000 1 39.489891 11.195048 5.548876 4.623847
8.300000 1 39.483563 11.270922 5.550919 4.622891
8.400000 1 39.477174 11.348628 5.552968 4.621911
8.500000 1 39.470723 11.428241 5.555024 4.620907
8.600000 1 39.464210 11.509839 5.557087 4.619878
8.700000 1 39.457636 11.593505 5.559157 4.618822
8.800000 1 39.450999 11.679327 5.561233 4.617740
8.900000 1 39.444299 11.767398 5.563316 4.616629
9.000000 1 39.437537 11.857815 5.565406 4.615490
9.100000 1 39.430711 11.950682 5.567502 4.614320
9.200000 1 39.423823 12.046107 5.569605 4.613118
9.300000 1 39.416872 12.144207 5.571715 4.611885
9.400000 1 39.409858 12.245103 5.573831 4.610617
9.500000 1 39.402781 12.348924 5.575955 4.609315
9.600000 1 39.395642 12.455807 5.578084 4.607976
9.700000 1 39.388440 12.565898 5.580221 4.606599
9.800000 1 39.381176 12.679349 5.582364 4.605183
9.900000 1 39.373851 12.796323 5.584515 4.603727
10.000000 1 39.366465 12.916992 5.586671 4.602228
10.100000 1 39.359018 13.041540 5.588835 4.600685
10.200000 1 39.351512 13.170161 5.591005 4.599096
10.300000 1 39.347730 13.236061 5.592093 4.598284
10.400000 1 39.343933 13.303058 5.593182 4.597460
10.500000 1 39.340123 13.371178 5.594273 4.596624
10.600000 1 39.336297 13.440452 5.595366 4.595775
10.700000 1 39.332459 13.510908 5.596461 4.594913
10.800000 1 39.328606 13.582577 5.597557 4.594039
10.900000 1 39.324739 13.655490 5.598655 4.593151
11.000000 1 39.320860 13.729680 5.599754 4.592249
11.100000 1 39.316967 13.805181 5.600856 4.591333
11.200000 1 39.313061 13.882026 5.601959 4.590404
11.300000 1 39.309142 13.960251 5.603064 4.589460
11.400000 1 39.305211 14.039894 5.604170 4.588501
11.500000 1 39.301268 14.120991 5.605279 4.587528
11.600000 1 39.297313 14.203583 5.606389 4.586539
11.700000 1 39.293346 14.287709 5.607501 4.585535
11.800000 1 39.289367 14.373412 5.608615 4.584514
11.900000 1 39.285378 14.460735 5.609730 4.583478
12.000000 1 39.281378 14.549721 5.610848 4.582425
12.100000 1 39.277368 14.640418 5.611967 4.581356
12.200000 1 39.273348 14.732872 5.613088 4.580269
12.300000 1 39.269318 14.827134 5.614211 4.579165
12.400000 1 39.265279 14.923253 5.615335 4.578043
12.500000 1 39.261232 15.021282 5.616462 4.576902
12.600000 1 39.257176 15.121277 5.617590 4.575744
12.700000 1 39.253112 15.223292 5.618720 4.574566
12.800000 1 39.249041 15.327387 5.619852 4.573370
12.900000 1 39.244963 15.433620 5.620986 4.572153
13.000000 1 39.240879 15.542056 5.622122 4.570917
13.100000 1 39.236790 15.652757 5.623260 4.569660
13.200000 1 39.232695 15.765792 5.624399 4.568383
