t Ka M R logL logTeff
0.100000 1 19.999621 4.675030 4.613529 4.579631
0.200000 1 19.999154 4.694093 4.615624 4.579271
0.300000 1 19.998683 4.713254 4.617762 4.578921
0.400000 1 19.998207 4.732525 4.619941 4.578579
0.500000 1 19.997726 4.751917 4.622163 4.578247
0.600000 1 19.997240 4.771442 4.624427 4.577923
0.700000 1 19.996749 4.791111 4.626733 4.577606
0.800000 1 19.996253 4.810936 4.629081 4.577296
0.900000 1 19.995752 4.830930 4.631471 4.576993
1.000000 1 19.995245 4.851104 4.633904 4.576696
1.100000 1 19.994732 4.871472 4.636378 4.576405
1.200000 1 19.994213 4.892045 4.638895 4.576119
1.300000 1 19.993688 4.912838 4.641454 4.575838
1.400000 1 19.993157 4.933862 4.644054 4.575561
1.500000 1 19.992619 4.955132 4.646697 4.575287
1.600000 1 19.992074 4.976661 4.649382 4.575017
1.700000 1 19.991523 4.998463 4.652109 4.574750
1.800000 1 19.990964 5.020551 4.654878 4.574484
1.900000 1 19.990398 5.042941 4.657689 4.574221
2.000000 1 19.989824 5.065646 4.660542 4.573959
2.100000 1 19.989243 5.088682 4.663437 4.573697
2.200000 1 19.988653 5.112063 4.666374 4.573436
2.300000 1 19.988055 5.135805 4.669353 4.573174
2.400000 1 19.987449 5.159924 4.672374 4.572912
2.500000 1 19.986833 5.184435 4.675436 4.572649
2.600000 1 19.986209 5.209355 4.678541 4.572384
2.700000 1 19.985576 5.234700 4.681688 4.572117
2.800000 1 19.984932 5.260487 4.684877 4.571847
2.900000 1 19.984279 5.286734 4.688107 4.571574
3.000000 1 19.983616 5.313458 4.691380 4.571297
3.100000 1 19.982943 5.340677 4.694694 4.571016
3.200000 1 19.982258 5.368411 4.698050 4.570730
3.300000 1 19.981563 5.396677 4.701448 4.570439
3.400000 1 19.980856 5.425496 4.704888 4.570143
3.500000 1 19.980138 5.454887 4.708370 4.569840
3.600000 1 19.979408 5.484872 4.711893 4.569531
3.700000 1 19.978665 5.515472 4.715459 4.569214
3.800000 1 19.977910 5.546708 4.719066 4.568889
3.900000 1 19.977142 5.578603 4.722715 4.568557
4.000000 1 19.976360 5.611181 4.726405 4.568215
4.100000 1 19.975565 5.644466 4.730138 4.567864
4.200000 1 19.974755 5.678484 4.733911 4.567502
4.300000 1 19.973931 5.713260 4.737727 4.567130
4.400000 1 19.973092 5.748824 4.741584 4.566747
4.500000 1 19.972238 5.785203 4.745483 4.566352
4.600000 1 19.971368 5.822429 4.749424 4.565944
4.700000 1 19.970482 5.860532 4.753406 4.565524
4.800000 1 19.969580 5.899548 4.757430 4.565089
4.900000 1 19.968660 5.939511 4.761495 4.564639
5.000000 1 19.967723 5.980459 4.765602 4.564174
5.100000 1 19.966767 6.022434 4.769751 4.563692
5.200000 1 19.965794 6.065477 4.773941 4.563193
5.300000 1 19.964801 6.109636 4.778172 4.562676
5.400005 1 19.963789 6.154959 4.782445 4.562139
5.500015 1 19.962757 6.201500 4.786759 4.561582
5.600031 1 19.961705 6.249316 4.791115 4.561003
5.700054 1 19.960632 6.298469 4.795512 4.560401
5.800082 1 19.959537 6.349027 4.799950 4.559775
5.900117 1 19.958420 6.401062 4.804430 4.559122
6.000159 1 19.957281 6.454655 4.808951 4.558442
6.100207 1 19.956119 6.509892 4.813513 4.557732
6.200261 1 19.954933 6.566867 4.818117 4.556991
6.300323 1 19.953723 6.625685 4.822762 4.556216
6.400391 1 19.952488 6.686460 4.827448 4.555404
6.500467 1 19.951229 6.749316 4.832175 4.554555
6.600550 1 19.949943 6.814391 4.836944 4.553663
6.700641 1 19.948631 6.881837 4.841753 4.552727
6.800641 1 19.947962 6.916500 4.844174 4.552241
6.900641 1 19.947286 6.951820 4.846604 4.551742
7.000641 1 19.946603 6.987821 4.849044 4.551231
7.100641 1 19.945914 7.024526 4.851495 4.550706
7.200641 1 19.945217 7.061963 4.853957 4.550167
7.300641 1 19.944513 7.100159 4.856428 4.549614
