t Ka M R logL logTeff
0.302140 1 8.999527 3.722287 3.598742 4.375421
0.604316 1 8.998965 3.740575 3.600607 4.374823
0.906526 1 8.998397 3.758961 3.602518 4.374236
1.208771 1 8.997824 3.777454 3.604472 4.373659
1.511052 1 8.997245 3.796058 3.606471 4.373092
1.813368 1 8.996659 3.814779 3.608514 4.372534
2.115722 1 8.996068 3.833625 3.610601 4.371986
2.418112 1 8.995470 3.852602 3.612733 4.371447
2.720539 1 8.994865 3.871716 3.614909 4.370916
3.023003 1 8.994254 3.890975 3.617128 4.370393
3.325506 1 8.993635 3.910384 3.619392 4.369879
3.628047 1 8.993010 3.929951 3.621700 4.369372
3.930628 1 8.992376 3.949684 3.624053 4.368873
4.233247 1 8.991735 3.969589 3.626449 4.368380
4.535907 1 8.991086 3.989673 3.628889 4.367894
4.838607 1 8.990429 4.009945 3.631372 4.367414
5.141347 1 8.989763 4.030412 3.633900 4.366941
5.444130 1 8.989088 4.051081 3.636472 4.366473
5.746954 1 8.988404 4.071961 3.639087 4.366011
6.049821 1 8.987711 4.093059 3.641746 4.365553
6.352732 1 8.987009 4.114385 3.644449 4.365100
6.655686 1 8.986296 4.135946 3.647196 4.364652
6.958684 1 8.985573 4.157750 3.649986 4.364208
7.261728 1 8.984840 4.179807 3.652819 4.363767
7.564817 1 8.984096 4.202126 3.655696 4.363330
7.867953 1 8.983340 4.224715 3.658617 4.362896
8.171136 1 8.982573 4.247583 3.661581 4.362465
8.474367 1 8.981795 4.270741 3.664588 4.362036
8.777646 1 8.981004 4.294198 3.667638 4.361609
9.080975 1 8.980200 4.317963 3.670732 4.361184
9.384355 1 8.979384 4.342047 3.673869 4.360760
9.687785 1 8.978554 4.366460 3.677048 4.360338
9.991267 1 8.977710 4.391213 3.680271 4.359916
10.294802 1 8.976852 4.416317 3.683537 4.359495
10.598391 1 8.975980 4.441783 3.686845 4.359073
10.902034 1 8.975092 4.467622 3.690197 4.358652
11.205733 1 8.974189 4.493847 3.693591 4.358229
11.509489 1 8.973269 4.520469 3.697028 4.357806
11.813302 1 8.972334 4.547502 3.700507 4.357381
12.117174 1 8.971381 4.574958 3.704029 4.356954
12.421105 1 8.970411 4.602852 3.707593 4.356525
12.725098 1 8.969422 4.631198 3.711199 4.356094
13.029152 1 8.968415 4.660011 3.714847 4.355659
13.333270 1 8.967389 4.689306 3.718538 4.355221
13.637452 1 8.966343 4.719101 3.722271 4.354779
13.941700 1 8.965276 4.749412 3.726045 4.354332
14.246015 1 8.964188 4.780258 3.729861 4.353880
14.550398 1 8.963079 4.811659 3.733719 4.353423
14.854852 1 8.961947 4.843635 3.737619 4.352960
15.159376 1 8.960792 4.876209 3.741560 4.352489
15.463973 1 8.959613 4.909404 3.745542 4.352012
15.768645 1 8.958410 4.943247 3.749565 4.351526
16.073392 1 8.957182 4.977766 3.753630 4.351031
16.378216 1 8.955931 5.012989 3.757736 4.350526
16.683120 1 8.954654 5.048950 3.761883 4.350011
16.988104 1 8.953350 5.085684 3.766071 4.349484
17.293171 1 8.952020 5.123229 3.770300 4.348944
17.598321 1 8.950662 5.161626 3.774569 4.348390
17.903557 1 8.949275 5.200922 3.778879 4.347820
18.208881 1 8.947859 5.241166 3.783229 4.347234
18.514295 1 8.946413 5.282413 3.787619 4.346629
18.819800 1 8.944935 5.324724 3.792050 4.346005
19.125398 1 8.943425 5.368164 3.796520 4.345358
19.431093 1 8.941882 5.412808 3.801030 4.344687
19.736885 1 8.940305 5.458736 3.805580 4.343990
20.042777 1 8.938693 5.506037 3.810169 4.343263
20.348772 1 8.937045 5.554810 3.814797 4.342505
20.654871 1 8.935360 5.605163 3.819465 4.341713
20.961077 1 8.933636 5.657219 3.824171 4.340882
21.267393 1 8.931873 5.711111 3.828916 4.340009
21.573821 1 8.930070 5.766987 3.833699 4.339091
21.727092 1 8.929148 5.795718 3.836104 4.338613
21.880393 1 8.928215 5.825008 3.838519 4.338122
22.033724 1 8.927272 5.854882 3.840943 4.337617
22.187084 1 8.926317 5.885363 3.843377 4.337098
22.340475 1 8.925352 5.916477 3.845820 4.336564
22.493897 1 8.924375 5.948253 3.848273 4.336014
22.647350 1 8.923388 5.980719 3.850735 4.335448
22.800835 1 8.922388 6.013906 3.853206 4.334864
22.954351 1 8.921378 6.047846 3.855687 4.334262
23.107900 1 8.920355 6.082574 3.858177 4.333641
23.261481 1 8.919321 6.118125 3.860677 4.333001
23.415096 1 8.918275 6.154537 3.863185 4.332339
23.568744 1 8.917216 6.191851 3.865704 4.331656
23.722425 1 8.916146 6.230109 3.868231 4.330950
23.876141 1 8.915063 6.269355 3.870767 4.330221
24.029892 1 8.913967 6.309637 3.873313 4.329467
24.183678 1 8.912859 6.351005 3.875868 4.328686
24.337499 1 8.911738 6.393512 3.878432 4.327879
24.491356 1 8.910604 6.437214 3.881005 4.327043
24.645250 1 8.909457 6.482169 3.883587 4.326177
24.799181 1 8.908297 6.528441 3.886179 4.325280
24.953148 1 8.907124 6.576096 3.888779 4.324351
25.107153 1 8.905937 6.625203 3.891389 4.323388
25.261197 1 8.904737 6.675838 3.894007 4.322389
25.415279 1 8.903523 6.728078 3.896634 4.321354
25.569400 1 8.902295 6.782006 3.899271 4.320279
25.723561 1 8.901053 6.837713 3.901916 4.319164
25.877761 1 8.899798 6.895290 3.904571 4.318007
26.032002 1 8.898528 6.954839 3.907234 4.316805
26.186284 1 8.897245 7.016463 3.909906 4.315558
26.340607 1 8.895947 7.080276 3.912587 4.314262
26.494972 1 8.894635 7.146397 3.915277 4.312916
26.649380 1 8.893308 7.214953 3.917976 4.311518
26.803830 1 8.891968 7.286078 3.920683 4.310064
26.903830 1 8.891290 7.322647 3.922040 4.309317
27.003830 1 8.890609 7.359914 3.923399 4.308554
27.103830 1 8.889924 7.397897 3.924760 4.307777
27.203830 1 8.889236 7.436616 3.926124 4.306984
27.303830 1 8.888544 7.476092 3.927490 4.306176
27.403830 1 8.887848 7.516346 3.928858 4.305352
27.503830 1 8.887149 7.557401 3.930228 4.304511
27.603830 1 8.886446 7.599279 3.931600 4.303654
27.703830 1 8.885740 7.642004 3.932974 4.302781
27.803830 1 8.885030 7.685600 3.934351 4.301889
27.903830 1 8.884316 7.730092 3.935730 4.300981
28.003830 1 8.883599 7.775506 3.937111 4.300054
28.103830 1 8.882878 7.821869 3.938494 4.299109
28.203830 1 8.882154 7.869209 3.939880 4.298145
28.303830 1 8.881426 7.917555 3.941268 4.297162
28.403830 1 8.880694 7.966935 3.942658 4.296159
28.503830 1 8.879959 8.017381 3.944050 4.295137
28.603830 1 8.879220 8.068925 3.945444 4.294094
28.703830 1 8.878478 8.121600 3.946841 4.293030
28.803830 1 8.877732 8.175439 3.948240 4.291945
28.903830 1 8.876983 8.230478 3.949641 4.290838
29.003830 1 8.876230 8.286754 3.951044 4.289709
29.103830 1 8.875474 8.344304 3.952449 4.288558
29.203830 1 8.874714 8.403167 3.953857 4.287383
29.303830 1 8.873950 8.463384 3.955267 4.286185
29.403830 1 8.873184 8.524997 3.956679 4.284963
29.503830 1 8.872414 8.588050 3.958093 4.283717
29.603830 1 8.871640 8.652588 3.959510 4.282445
29.703830 1 8.870863 8.718657 3.960929 4.281148
29.803830 1 8.870083 8.786307 3.962350 4.279825
29.903830 1 8.869299 8.855589 3.963773 4.278475
30.003830 1 8.868512 8.926553 3.965199 4.277098
30.103830 1 8.867722 8.999255 3.966627 4.275694
30.203830 1 8.866929 9.073752 3.968057 4.274261
30.303830 1 8.866132 9.150101 3.969489 4.272800
30.403830 1 8.865332 9.228364 3.970924 4.271309
30.503830 1 8.864530 9.308604 3.972360 4.269788
30.603830 1 8.863724 9.390888 3.973800 4.268237
30.703830 1 8.862914 9.475282 3.975241 4.266655
30.803830 1 8.862102 9.561859 3.976685 4.265041
30.903830 1 8.861287 9.650693 3.978131 4.263394
31.003830 1 8.860469 9.741860 3.979579 4.261714
31.103830 1 8.859648 9.835441 3.981030 4.260001
31.203830 1 8.858825 9.931519 3.982483 4.258253
31.359401 1 8.857171 9.848497 4.004468 4.265573
31.459401 1 8.856936 9.755668 4.009895 4.268986
31.559401 1 8.856829 9.706427 4.012456 4.270725
31.659401 1 8.856727 9.655250 4.014960 4.272499
31.759401 1 8.856630 9.602738 4.017399 4.274293
31.859401 1 8.856538 9.549425 4.019765 4.276093
31.959401 1 8.856449 9.495786 4.022053 4.277888
32.059401 1 8.856365 9.442229 4.024260 4.279668
32.159401 1 8.856285 9.389107 4.026383 4.281424
32.259401 1 8.856209 9.336718 4.028421 4.283149
32.359401 1 8.856136 9.285309 4.030373 4.284836
32.459401 1 8.856067 9.235083 4.032241 4.286480
32.559401 1 8.856002 9.186203 4.034023 4.288078
32.659401 1 8.855940 9.138796 4.035723 4.289627
32.759401 1 8.855880 9.092957 4.037342 4.291123
32.859401 1 8.855768 9.003367 4.040441 4.294048
32.959401 1 8.855668 8.921076 4.043223 4.296738
33.059401 1 8.855578 8.846090 4.045711 4.299193
33.159401 1 8.855498 8.778202 4.047928 4.301420
33.259401 1 8.855427 8.717066 4.049899 4.303430
33.359401 1 8.855364 8.662251 4.051648 4.305237
33.459401 1 8.855308 8.613282 4.053197 4.306855
33.559401 1 8.855258 8.569668 4.054565 4.308300
33.659401 1 8.855170 8.491635 4.056993 4.310893
33.759401 1 8.855103 8.431695 4.058839 4.312893
33.859401 1 8.855052 8.385951 4.060239 4.314424
33.959401 1 8.854975 8.316079 4.062362 4.316772
34.059401 2 8.854896 8.244716 4.064514 4.319181
34.159401 2 8.854891 8.319762 4.063826 4.317042
34.259401 2 8.854887 8.380198 4.063277 4.315333
34.359401 2 8.854883 8.441074 4.062728 4.313624
34.459401 2 8.854879 8.502392 4.062179 4.311915
34.559401 2 8.854875 8.564155 4.061630 4.310206
34.659401 2 8.854871 8.626367 4.061081 4.308497
34.759401 2 8.854867 8.689031 4.060532 4.306788
34.859401 2 8.854863 8.752150 4.059983 4.305079
34.959401 2 8.854859 8.815727 4.059434 4.303370
35.059401 2 8.854855 8.879767 4.058885 4.301661
35.159401 2 8.854851 8.944271 4.058336 4.299952
35.259401 2 8.854848 9.009244 4.057787 4.298243
35.359401 2 8.854844 9.074689 4.057238 4.296534
35.459401 2 8.854840 9.140610 4.056689 4.294825
35.559401 2 8.854836 9.207009 4.056140 4.293116
35.659401 2 8.854833 9.273891 4.055591 4.291407
35.759401 2 8.854829 9.341258 4.055042 4.289698
35.859401 2 8.854825 9.409115 4.054493 4.287989
35.959401 2 8.854822 9.477465 4.053944 4.286280
36.059401 2 8.854818 9.546311 4.053395 4.284571
36.159401 2 8.854815 9.615658 4.052846 4.282862
36.259401 2 8.854811 9.685508 4.052297 4.281154
36.359401 2 8.854807 9.755865 4.051748 4.279445
36.459401 2 8.854804 9.826734 4.051199 4.277736
36.559401 2 8.854800 9.898117 4.050650 4.276027
36.659401 2 8.854797 9.970019 4.050101 4.274318
36.759401 2 8.854794 10.042443 4.049552 4.272609
36.859401 2 8.854790 10.115394 4.049003 4.270900
36.959401 2 8.854787 10.188874 4.048454 4.269191
37.059401 2 8.854783 10.262888 4.047905 4.267482
37.159401 2 8.854780 10.337440 4.047356 4.265773
