t Ka M R logL logTeff
0.977382 1 5.000066 2.265543 2.777009 4.277807
1.954772 1 5.000048 2.277137 2.778738 4.277131
2.932169 1 5.000029 2.288795 2.780514 4.276466
3.909575 1 5.000011 2.300522 2.782336 4.275811
4.886988 1 4.999992 2.312320 2.784205 4.275168
5.864408 1 4.999973 2.324192 2.786122 4.274535
6.841837 1 4.999954 2.336143 2.788085 4.273912
7.819274 1 4.999935 2.348176 2.790094 4.273299
8.796718 1 4.999916 2.360293 2.792151 4.272695
9.774171 1 4.999896 2.372500 2.794254 4.272101
10.751632 1 4.999877 2.384798 2.796405 4.271516
11.729102 1 4.999857 2.397193 2.798602 4.270939
12.706579 1 4.999837 2.409688 2.800846 4.270372
13.684065 1 4.999817 2.422287 2.803136 4.269812
14.661560 1 4.999796 2.434993 2.805474 4.269260
15.639063 1 4.999775 2.447812 2.807858 4.268716
16.616574 1 4.999755 2.460746 2.810289 4.268179
17.594095 1 4.999733 2.473800 2.812767 4.267650
18.571624 1 4.999712 2.486978 2.815292 4.267127
19.549163 1 4.999690 2.500285 2.817863 4.266612
20.526710 1 4.999669 2.513725 2.820481 4.266102
21.504267 1 4.999646 2.527302 2.823146 4.265599
22.481833 1 4.999624 2.541021 2.825858 4.265101
23.459408 1 4.999601 2.554887 2.828617 4.264609
24.436993 1 4.999578 2.568905 2.831422 4.264122
25.414588 1 4.999555 2.583079 2.834275 4.263640
26.392192 1 4.999531 2.597414 2.837173 4.263163
27.369806 1 4.999508 2.611916 2.840119 4.262691
28.347431 1 4.999483 2.626589 2.843112 4.262222
29.325065 1 4.999459 2.641439 2.846151 4.261758
30.302710 1 4.999434 2.656471 2.849237 4.261297
31.280365 1 4.999408 2.671692 2.852370 4.260840
32.258031 1 4.999383 2.687105 2.855549 4.260386
33.235708 1 4.999357 2.702719 2.858776 4.259934
34.213396 1 4.999330 2.718538 2.862049 4.259485
35.191095 1 4.999303 2.734569 2.865368 4.259038
36.168805 1 4.999276 2.750818 2.868735 4.258593
37.146526 1 4.999248 2.767292 2.872148 4.258150
38.124260 1 4.999220 2.783999 2.875608 4.257708
39.102005 1 4.999191 2.800944 2.879115 4.257267
40.079762 1 4.999162 2.818136 2.882668 4.256827
41.057532 1 4.999132 2.835583 2.886268 4.256386
42.035314 1 4.999102 2.853292 2.889915 4.255946
43.013108 1 4.999071 2.871273 2.893609 4.255505
43.990916 1 4.999040 2.889534 2.897349 4.255064
44.968737 1 4.999008 2.908086 2.901136 4.254621
45.946571 1 4.998976 2.926938 2.904969 4.254176
46.924419 1 4.998943 2.946102 2.908850 4.253729
47.902281 1 4.998909 2.965590 2.912776 4.253279
48.880156 1 4.998875 2.985413 2.916750 4.252826
49.858047 1 4.998840 3.005585 2.920770 4.252369
50.835952 1 4.998804 3.026122 2.924837 4.251907
51.813872 1 4.998768 3.047038 2.928951 4.251439
52.791807 1 4.998730 3.068351 2.933111 4.250966
53.769758 1 4.998693 3.090079 2.937318 4.250485
54.747725 1 4.998654 3.112243 2.941571 4.249997
55.725708 1 4.998615 3.134865 2.945871 4.249499
56.703707 1 4.998574 3.157969 2.950218 4.248991
57.681724 1 4.998533 3.181582 2.954611 4.248472
58.659758 1 4.998491 3.205733 2.959051 4.247940
59.637809 1 4.998448 3.230454 2.963538 4.247393
60.615878 1 4.998405 3.255782 2.968071 4.246831
61.593966 1 4.998360 3.281755 2.972650 4.246250
62.572073 1 4.998314 3.308416 2.977276 4.245650
63.550199 1 4.998267 3.335814 2.981949 4.245027
64.528345 1 4.998219 3.364002 2.986668 4.244379
65.506510 1 4.998170 3.393039 2.991434 4.243705
66.484697 1 4.998120 3.422990 2.996246 4.242999
67.462904 1 4.998069 3.453927 3.001105 4.242260
68.441133 1 4.998017 3.485931 3.006010 4.241484
69.419384 1 4.997963 3.519092 3.010962 4.240666
70.397657 1 4.997908 3.553507 3.015960 4.239802
70.886805 1 4.997880 3.571220 3.018476 4.239351
71.375960 1 4.997852 3.589289 3.021004 4.238887
71.865120 1 4.997823 3.607730 3.023544 4.238410
72.354286 1 4.997794 3.626559 3.026095 4.237917
72.843458 1 4.997765 3.645794 3.028658 4.237409
73.332637 1 4.997735 3.665454 3.031232 4.236885
73.821822 1 4.997705 3.685558 3.033818 4.236344
74.311013 1 4.997674 3.706127 3.036416 4.235784
74.800210 1 4.997643 3.727182 3.039025 4.235207
75.289414 1 4.997612 3.748746 3.041646 4.234609
75.778625 1 4.997580 3.770844 3.044279 4.233991
76.267842 1 4.997548 3.793501 3.046923 4.233351
76.757066 1 4.997516 3.816745 3.049578 4.232689
77.246297 1 4.997483 3.840603 3.052246 4.232002
77.735534 1 4.997450 3.865107 3.054924 4.231291
78.224779 1 4.997417 3.890288 3.057615 4.230553
78.714031 1 4.997383 3.916180 3.060317 4.229788
79.203290 1 4.997348 3.942819 3.063030 4.228995
79.692556 1 4.997314 3.970243 3.065756 4.228171
80.181829 1 4.997278 3.998491 3.068492 4.227316
80.671110 1 4.997243 4.027607 3.071241 4.226427
81.160398 1 4.997207 4.057635 3.074001 4.225504
81.649694 1 4.997170 4.088623 3.076772 4.224545
82.138997 1 4.997133 4.120621 3.079555 4.223548
